"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene Symbol"	"Gene ID"	"Ensembl Gene ID"	"WikiPathways"	"Reactome Pathways"	"Number of Protein Pathway Groups"	"Number of Razor Peptides"	"Abundance Ratio Con_Abeta  Con"	"Abundance Ratio siIft88  Con"	"Abundance Ratio siIft88_Abeta  Con_Abeta"	"Abundance Ratio siIft88_Abeta  siIft88"	"Abundance Ratio log2 Con_Abeta  Con"	"Abundance Ratio log2 siIft88  Con"	"Abundance Ratio log2 siIft88_Abeta  Con_Abeta"	"Abundance Ratio log2 siIft88_Abeta  siIft88"	"Abundance Ratio P-Value Con_Abeta  Con"	"Abundance Ratio P-Value siIft88  Con"	"Abundance Ratio P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio P-Value siIft88_Abeta  siIft88"	"Abundance Ratio Adj P-Value Con_Abeta  Con"	"Abundance Ratio Adj P-Value siIft88  Con"	"Abundance Ratio Adj P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio Adj P-Value siIft88_Abeta  siIft88"	"Abundance F1 Sample Con"	"Abundance F2 Sample Con"	"Abundance F3 Sample Con"	"Abundance F4 Sample Con"	"Abundance F5 Sample Con_Abeta"	"Abundance F6 Sample Con_Abeta"	"Abundance F7 Sample Con_Abeta"	"Abundance F8 Sample Con_Abeta"	"Abundance F9 Sample siIft88"	"Abundance F10 Sample siIft88"	"Abundance F11 Sample siIft88"	"Abundance F12 Sample siIft88"	"Abundance F13 Sample siIft88_Abeta"	"Abundance F14 Sample siIft88_Abeta"	"Abundance F15 Sample siIft88_Abeta"	"Abundance F16 Sample siIft88_Abeta"	"Abundances Normalized F1 Sample Con"	"Abundances Normalized F2 Sample Con"	"Abundances Normalized F3 Sample Con"	"Abundances Normalized F4 Sample Con"	"Abundances Normalized F5 Sample Con_Abeta"	"Abundances Normalized F6 Sample Con_Abeta"	"Abundances Normalized F7 Sample Con_Abeta"	"Abundances Normalized F8 Sample Con_Abeta"	"Abundances Normalized F9 Sample siIft88"	"Abundances Normalized F10 Sample siIft88"	"Abundances Normalized F11 Sample siIft88"	"Abundances Normalized F12 Sample siIft88"	"Abundances Normalized F13 Sample siIft88_Abeta"	"Abundances Normalized F14 Sample siIft88_Abeta"	"Abundances Normalized F15 Sample siIft88_Abeta"	"Abundances Normalized F16 Sample siIft88_Abeta"	"Found in Sample F1 Sample Con"	"Found in Sample F2 Sample Con"	"Found in Sample F3 Sample Con"	"Found in Sample F4 Sample Con"	"Found in Sample F5 Sample Con_Abeta"	"Found in Sample F6 Sample Con_Abeta"	"Found in Sample F7 Sample Con_Abeta"	"Found in Sample F8 Sample Con_Abeta"	"Found in Sample F9 Sample siIft88"	"Found in Sample F10 Sample siIft88"	"Found in Sample F11 Sample siIft88"	"Found in Sample F12 Sample siIft88"	"Found in Sample F13 Sample siIft88_Abeta"	"Found in Sample F14 Sample siIft88_Abeta"	"Found in Sample F15 Sample siIft88_Abeta"	"Found in Sample F16 Sample siIft88_Abeta"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"Q68FD5"	"Clathrin heavy chain 1 [OS=Mus musculus]"	"0.000"	"94.933"	"19"	"21"	"88"	"21"	"1675"	"191.4"	"5.69"	"129.28"	"21"	"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00637, Pf01394, Pf09268, Pf13838"	"67300"	"Cltc"	"mmu:67300; Q68FD5"	"ENSMUSG00000047126"	"IL-7 signaling pathway; Kit receptor signaling pathway"	"MHC class II antigen presentation; Recycling pathway of L1; Cargo recognition for clathrin-mediated endocytosis; VLDLR internalisation and degradation; Golgi Associated Vesicle Biogenesis; RHOU GTPase cycle; LDL clearance; RHOV GTPase cycle; Retrograde neurotrophin signalling; Formation of annular gap junctions; Lysosome Vesicle Biogenesis; WNT5A-dependent internalization of FZD4; WNT5A-dependent internalization of FZD2, FZD5 and ROR2"	"17"	"0"	"0.787"	"2.216"	"3.551"	"1.262"	"-0.34"	"1.15"	"1.83"	"0.34"	"0.0171337502418442"	"1.69781526888624E-05"	"4.42975069958607E-08"	"0.148455924582337"	"0.0833518601465985"	"0.000128279375871405"	"5.27718126820253E-07"	"0.694530090626493"	"3270707.18359375"	"2238466.890625"	"2271316.83691406"	"1209887.8671875"	"2026519.88476563"	"1563911.77734375"	"332303.33203125"	"1091908.73339844"	"8123533.0546875"	"9184643.80761719"	"10049522.2578125"	"8971259.40234375"	"14932784.9296875"	"13270492.5390625"	"8767234.73730469"	"9196786.38769531"	"6180014.00163111"	"5681358.13298858"	"5740510.26725481"	"6469825.14662799"	"5045183.9154845"	"4700381.6501511"	"4678871.11411643"	"2936248.35371908"	"13996574.1250662"	"12860289.6306936"	"13541066.9871108"	"12352423.9545234"	"14932784.9296875"	"17826510.5150423"	"17260219.9291739"	"16070381.9654224"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P01868"	"Ig gamma-1 chain C region secreted form [OS=Mus musculus]"	"0.000"	"92.040"	"41"	"9"	"135"	"9"	"324"	"35.7"	"7.40"	"487.21"	"9"	"cell organization and biogenesis;stress response;transport;signal transduction;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;other cell component"	"signal transduction activity or receptor binding;other molecular function"	"Pf07654"	""	"Ighg1"	"P01868"	""	""	""	"0"	"0"	"0.996"	"0.747"	"0.700"	"0.933"	"-0.01"	"-0.42"	"-0.51"	"-0.10"	"0.999999980584355"	"0.00468022669948542"	"0.000198628459356809"	"0.248377165324453"	"0.999999980584355"	"0.0144661552529549"	"0.000806584094752757"	"0.798343243100006"	"92745013.125"	"69219335.5625"	"77120009.484375"	"43330894.5234375"	"76018460.25"	"56534807.84375"	"47285566.8125"	"55375986.9609375"	"76210716.3125"	"83664119.0625"	"81991659.7050781"	"79989435.0546875"	"97296149.640625"	"72918873.84375"	"57810362.125"	"64667772.875"	"137716854.655622"	"129701201.218791"	"144895912.615651"	"141311792.710723"	"153044101.343711"	"147449915.111468"	"123627700.332945"	"130987843.359071"	"126955134.860172"	"106367262.112994"	"101281313.313507"	"102187526.529232"	"97296149.640625"	"97280721.9697168"	"101982316.564194"	"93260820.5611726"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P11499"	"Heat shock protein HSP 90-beta [OS=Mus musculus]"	"0.000"	"63.748"	"24"	"13"	"96"	"7"	"724"	"83.2"	"5.03"	"169.51"	"13"	"cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;developmental processes;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;enzyme regulator activity;cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00183, Pf02518"	"15516"	"Hsp90ab1"	"mmu:15516; O89078; P11499; Q3UIQ7"	"ENSMUSG00000023944"	"Focal adhesion: PI3K-Akt-mTOR signaling pathway"	"Neutrophil degranulation; Regulation of actin dynamics for phagocytic cup formation; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; The role of GTSE1 in G2/M progression after G2 checkpoint; Attenuation phase; Estrogen-dependent gene expression; Sema3A PAK dependent Axon repulsion; Aryl hydrocarbon receptor signalling; DDX58/IFIH1-mediated induction of interferon-alpha/beta; HSF1 activation; RHOBTB2 GTPase cycle; The NLRP3 inflammasome"	"15"	"6"	"1.020"	"2.709"	"3.170"	"1.193"	"0.03"	"1.44"	"1.66"	"0.25"	"0.936071557529182"	"1.86530346724112E-10"	"2.97313285102518E-11"	"0.0212246618345564"	"0.999999980584355"	"1.26840635772396E-08"	"1.6292768023618E-09"	"0.188663660751612"	"3652446.2265625"	"1509410.04296875"	"2528372.734375"	"800457.12109375"	"2197602.71484375"	"986221.145507813"	"1563561.55078125"	"2290008.453125"	"10456794.9648438"	"11461106.9316406"	"13519160.5"	"12337355.3730469"	"16199189.2148438"	"15700577.0722656"	"11275246.6953125"	"11778280.2265625"	"6253810.48463549"	"5771910.91982216"	"6089038.14230241"	"6014566.55440428"	"6002280.50532505"	"6347793.02162947"	"6472354.79179966"	"5960047.59901956"	"18503732.7033993"	"16099019.3418581"	"16699726.9632205"	"16043325.1518489"	"18045245.8239422"	"21065381.8398157"	"21734850.2183741"	"18171802.5946517"	"High"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P52480"	"Pyruvate kinase PKM [OS=Mus musculus]"	"0.000"	"55.257"	"26"	"11"	"53"	"11"	"531"	"57.8"	"7.47"	"113.28"	"11"	"cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes"	"cytosol;ER/Golgi;nucleus;other cell component"	"nucleic acid binding activity;kinase activity;other molecular function"	"Pf00224, Pf02887"	"18746"	"Pkm"	"mmu:18746; P52480; Q3TBV8; Q3TBW5; Q3TC59; Q3U1X3; Q3U5P6; Q4VC20; Q64484; Q91YI8; Q9CWB1"	"ENSMUSG00000032294"	"Glycolysis and gluconeogenesis; Purine metabolism"	"Neutrophil degranulation; Glycolysis"	"4"	"0"	"0.412"	"10.669"	"26.211"	"1.013"	"-1.28"	"3.42"	"4.71"	"0.02"	"1.01696864929224E-07"	"1.26876287254163E-12"	"8.73745520379998E-14"	"0.994728618994563"	"6.45775092300571E-06"	"2.88119750280202E-10"	"2.3940627258412E-11"	"0.999959087841829"	"922196.3046875"	"208706.47265625"	"476479.32421875"	"120581.56640625"	"221777.7734375"	"122837.509765625"	"246863.609375"	"146148.5625"	"8682871.1484375"	"10917473.2304688"	"9746293.49023438"	"11469159.8945313"	"12396356.0546875"	"12943144.4804688"	"8151684.546875"	"8964506.87695313"	"1450468.33340619"	"1240237.44148312"	"1434456.47430597"	"1325897.33435458"	"577562.739074488"	"457536.945579508"	"629633.197098086"	"560143.623643586"	"15515258.3782226"	"14407230.8261963"	"14774376.9487967"	"14651998.4819137"	"13905634.5958619"	"17267387.3477035"	"15983491.2931461"	"13482301.4334201"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P80314"	"T-complex protein 1 subunit beta [OS=Mus musculus]"	"0.000"	"53.164"	"25"	"8"	"45"	"8"	"535"	"57.4"	"6.40"	"86.12"	"8"	"cell organization and biogenesis;transport;other biological processes"	"cytosol;cytoskeleton;other cell component"	"other molecular function"	"Pf00118"	"12461"	"Cct2"	"mmu:12461; P80314; Q9R1U0"	"ENSMUSG00000034024"	""	"Neutrophil degranulation; RHOBTB2 GTPase cycle; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; RHOBTB1 GTPase cycle; Association of TriC/CCT with target proteins during biosynthesis"	"5"	"0"	"0.577"	"2.002"	"4.422"	"1.275"	"-0.79"	"1.00"	"2.14"	"0.35"	"0.000538257930311925"	"3.76194046545208E-05"	"1.47577120523934E-08"	"0.154918445235857"	"0.00804220672348406"	"0.000242269865290211"	"2.37859594256223E-07"	"0.700546219846837"	"602966.576171875"	"260309.5078125"	"305771.81640625"	""	"107473.494140625"	"52287.689453125"	"94315.228515625"	"216615.26171875"	"960211.3125"	"1520311.296875"	"1291526.546875"	"1399909.8671875"	"2677058.5"	"1840011.578125"	"1145348.7890625"	"1271418.83203125"	"894042.956703475"	"852094.997015919"	"757494.610516396"	"959613.069558491"	"505923.856827149"	"399488.589186416"	"615139.772085692"	"501355.25730868"	"1706657.79125308"	"1932863.83721132"	"1702099.63724424"	"1788402.76336435"	"2677058.5"	"2454750.67451251"	"2020491.11074631"	"1833580.44170409"	"High"	"High"	"Peak Found"	"n/a"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"P10126"	"Elongation factor 1-alpha 1 [OS=Mus musculus]"	"0.000"	"46.559"	"29"	"10"	"65"	"10"	"462"	"50.1"	"9.01"	"164.57"	"10"	"protein metabolism;other metabolic processes;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component"	"nucleic acid binding activity;other molecular function"	"Pf00009, Pf03143, Pf03144"	"13627"	"Eef1a1"	"mmu:13627; P10126; Q61511; Q6ZWN2; Q8BMB8; Q8BVS8; Q99KU5"	"ENSMUSG00000037742"	"Translation factors; EGFR1 signaling pathway"	"Neutrophil degranulation; HSF1 activation; Eukaryotic Translation Elongation; Protein methylation"	"6"	"0"	"0.960"	"0.763"	"0.719"	"0.904"	"-0.06"	"-0.39"	"-0.48"	"-0.14"	"0.995204643068796"	"0.0457286585227629"	"0.00772847734778648"	"0.607710640097813"	"0.999999980584355"	"0.0901318486825471"	"0.0185754630990657"	"0.999959087841829"	"195954439.15625"	"148945813.796875"	"169766479.023438"	"97735632.6640625"	"141983357.974609"	"110228183.257813"	"121731127.5"	"124537627.257813"	"115790458.884766"	"190034998.554688"	"189820047.256836"	"174634898.578125"	"255259348.9375"	"149591696.796875"	"79577010.546875"	"148321983"	"290606632.870288"	"280735615.069061"	"322095930.82608"	"310030953.049202"	"286187494.445513"	"287602995.454928"	"313002853.706542"	"288614808.660943"	"198016846.485354"	"241979256.529092"	"234781022.10263"	"223311190.57898"	"255259348.9375"	"199569569.550096"	"140876165.139543"	"214920060.57438"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P07901"	"Heat shock protein HSP 90-alpha [OS=Mus musculus]"	"0.000"	"45.386"	"18"	"10"	"78"	"4"	"733"	"84.7"	"5.01"	"111.04"	"10"	"cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes"	"extracellular matrix;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;nucleus;other cell component"	"signal transduction activity or receptor binding;enzyme regulator activity;cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00183, Pf02518"	"15519"	"Hsp90aa1"	"mmu:15519; P07901"	"ENSMUSG00000021270"	"EBV LMP1 signaling; Focal adhesion: PI3K-Akt-mTOR signaling pathway; IL-6 signaling pathway; IL-2 signaling pathway"	"Regulation of actin dynamics for phagocytic cup formation; Recruitment of NuMA to mitotic centrosomes; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; The role of GTSE1 in G2/M progression after G2 checkpoint; Neutrophil degranulation; Downregulation of ERBB2 signaling; Anchoring of the basal body to the plasma membrane; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; AURKA Activation by TPX2; Extra-nuclear estrogen signaling; Attenuation phase; Estrogen-dependent gene expression; Sema3A PAK dependent Axon repulsion; Regulation of necroptotic cell death; VEGFR2 mediated vascular permeability; Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation; DDX58/IFIH1-mediated induction of interferon-alpha/beta; eNOS activation; HSF1 activation; RHOBTB2 GTPase cycle; Drug-mediated inhibition of ERBB2 signaling"	"32"	"0"	"9.129"	"6.111"	"0.817"	"1.220"	"3.19"	"2.61"	"-0.29"	"0.29"	"3.25424132086027E-11"	"6.74574396342109E-10"	"0.188509716827217"	"0.0849104839544299"	"8.2657729549851E-09"	"3.66968471610107E-08"	"0.264880320054653"	"0.495909536566452"	"284856.046875"	"190440.23828125"	"34867.890625"	"89503.77734375"	"1424736.96777344"	"504311.681640625"	"158899.3515625"	"69700.1455078125"	"1263549.6171875"	"612510.75"	"1703667.77539063"	"659800.65234375"	"886396.625"	"1702779.49414063"	"1585290.52539063"	"906943.5625"	"422367.594568615"	"356521.097199923"	"297537.129812185"	"320663.584368177"	"2868350.50548198"	"3343820.78770677"	"3321655.64779798"	"2777567.22852161"	"2132656.63891631"	"2028843.14028612"	"2104478.8014064"	"1828477.82665234"	"2203978.34210308"	"2271670.00549374"	"2796585.14951057"	"2986272.28366068"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P11152"	"Lipoprotein lipase [OS=Mus musculus]"	"0.000"	"42.577"	"27"	"10"	"72"	"10"	"474"	"53.1"	"7.87"	"141.45"	"10"	"cell organization and biogenesis;other metabolic processes;stress response;signal transduction;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;other cell component"	"signal transduction activity or receptor binding;other molecular function"	"Pf00151, Pf01477"	"16956"	"Lpl"	"mmu:16956; P11152; Q05956; Q542L4; Q9D3M9; Q9DCM8"	"ENSMUSG00000015568"	"Statin pathway; Retinol metabolism; Fatty acid beta-oxidation; Alzheimer's disease; PPAR signaling pathway; Triacylglyceride synthesis; Adipogenesis genes"	"Retinoid metabolism and transport; Chylomicron remodeling; Assembly of active LPL and LIPC lipase complexes"	"10"	"0"	"1.475"	"2.035"	"1.567"	"1.136"	"0.56"	"1.02"	"0.65"	"0.18"	"0.00140287036533104"	"2.54410030331442E-06"	"7.76407929197198E-05"	"0.155433692528517"	"0.0178164536397043"	"2.47141172321972E-05"	"0.000379885308214343"	"0.700546219846837"	"6409007.671875"	"5157010.94921875"	"4538932.42382813"	"3254245.00390625"	"7008937.4140625"	"5524401.71875"	"5190503.74023438"	"6688680.2890625"	"11407718.9658203"	"17041395.3125"	"15906506.8085938"	"16832637.34375"	"22913800.03125"	"16822771.0390625"	"13331920.2851563"	"17155781.1992188"	"9502895.17683824"	"10143849.0617917"	"10108580.9759076"	"13546203.9128655"	"14110737.3706574"	"14916237.0439734"	"14954961.5155341"	"16040906.6191485"	"19003475.755484"	"21665758.060773"	"19648728.975599"	"21604012.9706742"	"22913800.03125"	"22864891.4564752"	"23909794.9310322"	"25626710.4961552"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P35441"	"Thrombospondin-1 [OS=Mus musculus]"	"0.000"	"41.621"	"11"	"13"	"165"	"12"	"1170"	"129.6"	"4.96"	"234.41"	"13"	"cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes"	"non-structural extracellular;extracellular matrix;plasma membrane;other membranes;cytosol;ER/Golgi;other cell component"	"signal transduction activity or receptor binding;other molecular function"	"Pf00090, Pf00093, Pf02412, Pf05735"	""	"Thbs1"	"P35441"	""	""	"Platelet degranulation ; Signaling by PDGF; Integrin cell surface interactions; O-glycosylation of TSR domain-containing proteins"	"4"	"1"	"1.200"	"2.576"	"0.928"	"0.432"	"0.26"	"1.37"	"-0.11"	"-1.21"	"0.567746228876308"	"9.42385112168154E-07"	"0.997462551544398"	"3.15844062792614E-06"	"0.999999980584355"	"1.11447282830321E-05"	"0.999263176209485"	"0.000202140200187273"	"16325580.9296875"	"15189781.6933594"	"13481429.3222656"	"7589934.99707031"	"11813627.7207031"	"11053720.6083984"	"12920870.8076172"	"14346804.671875"	"11914998.5820313"	"15853926.3066406"	"16454922.0273438"	"49568993.671875"	"21793974.2558594"	"16936977.328125"	"16232273.9882813"	"13794670.484375"	"24329067.2087588"	"30311226.9451517"	"25329405.6636344"	"26056459.8507064"	"23897671.6381453"	"28829498.6316898"	"32955076.7587344"	"33320799.2550361"	"69569605.2190965"	"56061990.9210249"	"67786339.154819"	"64622479.4407481"	"26313472.807359"	"26371777.1959336"	"33014943.0651841"	"31000844.5294255"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P01027"	"Complement C3 [OS=Mus musculus]"	"0.000"	"36.590"	"4"	"6"	"72"	"6"	"1663"	"186.4"	"6.73"	"113.59"	"6"	"cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;other cell component"	"signal transduction activity or receptor binding;enzyme regulator activity;other molecular function"	"Pf00207, Pf01759, Pf01821, Pf01835, Pf07677, Pf07678, Pf07703, Pf17789, Pf17790, Pf17791"	"12266"	"C3"	"mmu:12266; P01027; Q61370; Q80XP1"	"ENSMUSG00000024164"	"Complement activation, classical pathway; Tyrobp causal network in microglia; Comprehensive IL-17A signaling"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Regulation of Complement cascade; Neutrophil degranulation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; G alpha (i) signalling events; Peptide ligand-binding receptors; Alternative complement activation; Activation of C3 and C5"	"12"	"0"	"0.864"	"0.522"	"0.618"	"1.022"	"-0.21"	"-0.94"	"-0.70"	"0.03"	"0.687176417435184"	"0.00136716732304465"	"0.0115042362762479"	"0.998988078210335"	"0.999999980584355"	"0.00515660945792156"	"0.0264887457116967"	"0.999959087841829"	"7371775.5234375"	"4617980.4453125"	"3213306.765625"	"4213026.58203125"	"5610963.609375"	"3492614.00976563"	"3620911.51269531"	"3002208.77734375"	"2947460.4296875"	"4448174.03515625"	"4398157.9296875"	"3895562.4921875"	"5387569.5546875"	"4323460.45703125"	"3468185.3046875"	"3857307.38671875"	"10930430.0529748"	"10304229.6631947"	"7394176.6107986"	"13557236.3921823"	"11296267.7808127"	"9109178.20186769"	"9235245.72098595"	"6948601.59952094"	"6388933.00789284"	"5655233.07749437"	"5432884.4285046"	"5039890.56826066"	"5387569.5546875"	"5767907.98454674"	"6118169.10748896"	"5562827.29478587"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
