"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene Symbol"	"Gene ID"	"Ensembl Gene ID"	"WikiPathways"	"Reactome Pathways"	"Number of Protein Pathway Groups"	"Number of Razor Peptides"	"Abundance Ratio Con_Abeta  Con"	"Abundance Ratio siIft88  Con"	"Abundance Ratio siIft88_Abeta  Con_Abeta"	"Abundance Ratio siIft88_Abeta  siIft88"	"Abundance Ratio log2 Con_Abeta  Con"	"Abundance Ratio log2 siIft88  Con"	"Abundance Ratio log2 siIft88_Abeta  Con_Abeta"	"Abundance Ratio log2 siIft88_Abeta  siIft88"	"Abundance Ratio P-Value Con_Abeta  Con"	"Abundance Ratio P-Value siIft88  Con"	"Abundance Ratio P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio P-Value siIft88_Abeta  siIft88"	"Abundance Ratio Adj P-Value Con_Abeta  Con"	"Abundance Ratio Adj P-Value siIft88  Con"	"Abundance Ratio Adj P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio Adj P-Value siIft88_Abeta  siIft88"	"Abundance Ratio Variability in Percent Con_Abeta  Con"	"Abundance Ratio Variability in Percent siIft88  Con"	"Abundance Ratio Variability in Percent siIft88_Abeta  Con_Abeta"	"Abundance Ratio Variability in Percent siIft88_Abeta  siIft88"	"Abundance Ratio Weight Con_Abeta  Con"	"Abundance Ratio Weight siIft88  Con"	"Abundance Ratio Weight siIft88_Abeta  Con_Abeta"	"Abundance Ratio Weight siIft88_Abeta  siIft88"	"Abundances Normalized F1 Sample Con"	"Abundances Normalized F2 Sample Con"	"Abundances Normalized F3 Sample Con"	"Abundances Normalized F4 Sample Con"	"Abundances Normalized F5 Sample Con_Abeta"	"Abundances Normalized F6 Sample Con_Abeta"	"Abundances Normalized F7 Sample Con_Abeta"	"Abundances Normalized F8 Sample Con_Abeta"	"Abundances Normalized F9 Sample siIft88"	"Abundances Normalized F10 Sample siIft88"	"Abundances Normalized F11 Sample siIft88"	"Abundances Normalized F12 Sample siIft88"	"Abundances Normalized F13 Sample siIft88_Abeta"	"Abundances Normalized F14 Sample siIft88_Abeta"	"Abundances Normalized F15 Sample siIft88_Abeta"	"Abundances Normalized F16 Sample siIft88_Abeta"	"Found in Sample F1 Sample Con"	"Found in Sample F2 Sample Con"	"Found in Sample F3 Sample Con"	"Found in Sample F4 Sample Con"	"Found in Sample F5 Sample Con_Abeta"	"Found in Sample F6 Sample Con_Abeta"	"Found in Sample F7 Sample Con_Abeta"	"Found in Sample F8 Sample Con_Abeta"	"Found in Sample F9 Sample siIft88"	"Found in Sample F10 Sample siIft88"	"Found in Sample F11 Sample siIft88"	"Found in Sample F12 Sample siIft88"	"Found in Sample F13 Sample siIft88_Abeta"	"Found in Sample F14 Sample siIft88_Abeta"	"Found in Sample F15 Sample siIft88_Abeta"	"Found in Sample F16 Sample siIft88_Abeta"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"Q8VDD5"	"Myosin-9 [OS=Mus musculus]"	"0.000"	"749.037"	"54"	"98"	"1274"	"84"	"1960"	"226.2"	"5.66"	"3326.82"	"98"	"cell adhesion;cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;stress response;transport;developmental processes;signal transduction;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"	"Pf00063, Pf01576, Pf02736"	"17886"	"Myh9"	"mmu:17886; Q3UHT9; Q3UHU4; Q6KAN6; Q811I2; Q8VDD5"	"ENSMUSG00000022443"	"Primary focal segmental glomerulosclerosis (FSGS)"	"Regulation of actin dynamics for phagocytic cup formation; RHO GTPases activate PAKs"	"3"	"13"	"0.872"	"0.621"	"1.046"	"1.470"	"-0.20"	"-0.69"	"0.07"	"0.56"	"0.470454687410329"	"0.12847108648986"	"0.545585705758422"	"0.0171191420315149"	"0.813829813885373"	"0.459110884810756"	"0.852544914749756"	"0.142357010001826"	"55.48"	"52.27"	"30.13"	"28.35"	"29.9525438865957"	"29.5329764080354"	"30.1785027637622"	"29.8278569644635"	"869178006.27382"	"805861703.258365"	"820835544.914842"	"794567095.696679"	"671167831.535415"	"687438166.066406"	"677056403.831441"	"697654197.835187"	"479449834.094746"	"480745785.320267"	"469830159.743855"	"476096967.742953"	"712878771.395282"	"725083821.647026"	"729646901.994556"	"618784322.288664"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q8BTM8"	"Filamin-A [OS=Mus musculus]"	"0.000"	"400.200"	"30"	"61"	"570"	"55"	"2647"	"281.0"	"6.04"	"1289.86"	"61"	"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"	"Pf00307, Pf00630"	"192176"	"Flna"	"B7FAV0; O54934; Q7TQI1; Q8BLK1; Q8BTM8; Q8BTN7; Q8VHX5; Q8VHX8; Q99KQ2"	"ENSMUSG00000031328"	"Mapk signaling pathway; Focal adhesion"	"Cell-extracellular matrix interactions; Platelet degranulation ; RHO GTPases activate PAKs; GP1b-IX-V activation signalling"	"6"	"5"	"0.893"	"0.843"	"1.015"	"1.021"	"-0.16"	"-0.25"	"0.02"	"0.03"	"0.526500513003872"	"0.592736423462979"	"0.686426052229482"	"0.99413334983236"	"0.847598222197206"	"0.857195474334345"	"0.91050076353198"	"0.997892434633937"	"66.75"	"64.65"	"28.44"	"30.02"	"27.8961249129818"	"27.7379563929339"	"28.1304523523587"	"27.9971297652734"	"217482994.819936"	"187728561.761975"	"172903854.449007"	"181135791.281023"	"166553335.848454"	"192114844.507813"	"182969631.701811"	"175423688.615099"	"164045785.893348"	"174278351.359715"	"165558726.077911"	"171359033.187776"	"160082442.80454"	"178537580.871455"	"173290415.245405"	"175063313.14252"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P60710"	"Actin, cytoplasmic 1 [OS=Mus musculus]"	"0.000"	"397.012"	"85"	"27"	"996"	"1"	"375"	"41.7"	"5.48"	"2897.52"	"27"	"cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00022"	"11461"	"Actb"	"mmu:11461; P02570; P60710; P70514; P99021; Q11211; Q3TI89; Q3TVP6; Q64316; Q6ZWM3"	"ENSMUSG00000029580"	"Myometrial relaxation and contraction pathways; Regulation of actin cytoskeleton; Focal adhesion"	"Cell-extracellular matrix interactions; Regulation of actin dynamics for phagocytic cup formation; Interaction between L1 and Ankyrins; MAP2K and MAPK activation; RHO GTPases Activate Formins; Recycling pathway of L1; RHO GTPases activate IQGAPs; Clathrin-mediated endocytosis; EPHB-mediated forward signaling; Adherens junctions interactions; Formation of annular gap junctions; VEGFA-VEGFR2 Pathway; RHO GTPases Activate WASPs and WAVEs; RHOBTB2 GTPase cycle"	"18"	"31"	"0.557"	"0.549"	"1.159"	"1.124"	"-0.85"	"-0.87"	"0.21"	"0.17"	"0.0174690915335571"	"0.0552653737223168"	"0.200108823357307"	"0.523961841669698"	"0.105356381396122"	"0.26301459604244"	"0.61728373685385"	"0.846928485059545"	"49.49"	"50.63"	"37.47"	"35.39"	"31.730949774081"	"31.6237018127131"	"31.6774479649097"	"31.5659875318651"	"3364367356.44196"	"3340472171.66227"	"3522252370.39292"	"3665211133.66031"	"1911477008.81631"	"1882520029.6875"	"2059179659.94262"	"1909822497.66398"	"1678218394.71907"	"2035950425.318"	"2048588662.06712"	"1989838239.81714"	"2045860951.76851"	"2409535127.55881"	"2083302382.29223"	"1845805828.87193"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term]; Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"P63260"	"Actin, cytoplasmic 2 [OS=Mus musculus]"	"0.000"	"390.513"	"85"	"27"	"751"	"1"	"375"	"41.8"	"5.48"	"1965.08"	"27"	"cell organization and biogenesis;stress response;developmental processes;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00022"	"11465"	"Actg1"	"mmu:11465; P02571; P14104; P63260; P99022"	"ENSMUSG00000062825"	"Myometrial relaxation and contraction pathways; Regulation of actin cytoskeleton; Focal adhesion"	"Regulation of actin dynamics for phagocytic cup formation; Platelet degranulation ; Interaction between L1 and Ankyrins; DNA Damage Recognition in GG-NER; MAP2K and MAPK activation; RHO GTPases Activate Formins; Recycling pathway of L1; RHO GTPases activate IQGAPs; Clathrin-mediated endocytosis; EPHB-mediated forward signaling; UCH proteinases; B-WICH complex positively regulates rRNA expression; Adherens junctions interactions; RHOF GTPase cycle; Formation of annular gap junctions; VEGFA-VEGFR2 Pathway; Cell-extracellular matrix interactions; RHO GTPases Activate WASPs and WAVEs"	"22"	"0"	"0.759"	"0.780"	"0.874"	"0.833"	"-0.40"	"-0.36"	"-0.19"	"-0.26"	"0.207733699044507"	"0.431488218894777"	"0.652404930142213"	"0.170595621283189"	"0.601343595129679"	"0.771394350852365"	"0.893090497490053"	"0.576711107397145"	"28.96"	"29.27"	"17.64"	"29.20"	"23.4960136365846"	"23.396093287094"	"23.5742511127515"	"23.479781775197"	"20556454.0942223"	"8932930.83420645"	"8216490.1475623"	"9585713.23134593"	"8003076.30161383"	"8061697.25"	"7534377.40134272"	"7681034.73128907"	"7118828.73530878"	"9283574.21571896"	"9068813.57086087"	"7377126.27222209"	"6173542.78694674"	"7216193.69711063"	"6316472.10762499"	"8601235.96542944"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q7TPV4"	"Myb-binding protein 1A [OS=Mus musculus]"	"0.000"	"351.594"	"43"	"44"	"664"	"44"	"1344"	"151.9"	"8.95"	"1807.75"	"44"	"cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;stress response;signal transduction;other biological processes"	"nucleus;other cell component"	"nucleic acid binding activity;other molecular function"	"Pf04931"	"18432"	"Mybbp1a"	"mmu:18432; O35851; Q7TPV4; Q80Y66; Q8R4X2; Q99KP0"	"ENSMUSG00000040463"	""	"B-WICH complex positively regulates rRNA expression"	"1"	"0"	"2.206"	"2.295"	"0.896"	"0.841"	"1.14"	"1.20"	"-0.16"	"-0.25"	"0.00694622524994903"	"0.00731349784828561"	"0.675167228556338"	"0.209687010190401"	"0.0473031062070787"	"0.0539507496517001"	"0.904577765194289"	"0.612555234495007"	"76.02"	"78.42"	"39.62"	"35.85"	"28.2944770931205"	"28.2941666314483"	"28.8790144065716"	"28.8788073785369"	"202248875.005738"	"117910945.630421"	"124496524.91566"	"117277959.411136"	"322482244.95565"	"259340403.558594"	"316160809.770461"	"303347815.266885"	"377185679.743037"	"348745638.718111"	"336532136.282037"	"349403437.756831"	"267382758.179016"	"271149707.037997"	"300372766.882208"	"228347838.967539"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q68FD5"	"Clathrin heavy chain 1 [OS=Mus musculus]"	"0.000"	"332.247"	"38"	"49"	"435"	"49"	"1675"	"191.4"	"5.69"	"1000.37"	"49"	"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00637, Pf01394, Pf09268, Pf13838"	"67300"	"Cltc"	"mmu:67300; Q68FD5"	"ENSMUSG00000047126"	"IL-7 signaling pathway; Kit receptor signaling pathway"	"Golgi Associated Vesicle Biogenesis; MHC class II antigen presentation; Recycling pathway of L1; Cargo recognition for clathrin-mediated endocytosis; RHOU GTPase cycle; LDL clearance; RHOV GTPase cycle; Retrograde neurotrophin signalling; Formation of annular gap junctions; Lysosome Vesicle Biogenesis; WNT5A-dependent internalization of FZD4; WNT5A-dependent internalization of FZD2, FZD5 and ROR2; VLDLR internalisation and degradation"	"17"	"0"	"0.710"	"0.553"	"0.890"	"1.128"	"-0.49"	"-0.85"	"-0.17"	"0.17"	"0.138857773948122"	"0.0589125164133515"	"0.63896635303913"	"0.509772055049356"	"0.474212397822833"	"0.276127372848974"	"0.886787420263035"	"0.835338728383346"	"54.43"	"56.80"	"31.70"	"35.74"	"28.0284053741217"	"27.7637691545538"	"28.0741746053738"	"27.8185802169876"	"221537042.172611"	"219087337.673739"	"225752633.403617"	"221592881.879654"	"171874051.870551"	"174594723.972656"	"160404928.848048"	"174780142.943871"	"152941891.813096"	"142162956.618672"	"147295005.124931"	"150921056.811793"	"147868487.704956"	"158468334.516871"	"153267557.312995"	"150307189.553257"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q99PL5"	"Ribosome-binding protein 1 [OS=Mus musculus]"	"0.000"	"330.609"	"56"	"54"	"680"	"54"	"1605"	"172.8"	"9.33"	"1450.98"	"54"	"transport;signal transduction"	"other membranes;ER/Golgi"	""	"Pf05104"	"81910"	"Rrbp1"	"A2AVJ8; mmu:81910; Q99PK5; Q99PK6; Q99PK7; Q99PK8; Q99PK9; Q99PL0; Q99PL1; Q99PL2; Q99PL3; Q99PL4; Q99PL5; Q9CS20"	"ENSMUSG00000027422"	""	""	"0"	"0"	"1.125"	"1.810"	"1.280"	"0.817"	"0.17"	"0.86"	"0.36"	"-0.29"	"0.82793308311383"	"0.054936507156802"	"0.0526063821169656"	"0.149759762055031"	"0.950545208826628"	"0.262491355277646"	"0.267665323997482"	"0.555666923581908"	"74.16"	"60.41"	"41.84"	"35.29"	"29.6675283536033"	"29.7964415476558"	"29.5305117875812"	"29.6716593207855"	"211500882.75496"	"1425204988.25059"	"1514096584.91148"	"1239422630.54709"	"217014957.726122"	"204283481.753906"	"205106292.34944"	"209238215.685007"	"326047455.877935"	"358343837.48149"	"339273309.815688"	"360709447.132934"	"951702629.718099"	"503501556.022853"	"1018975475.18753"	"246918783.376958"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P52480"	"Pyruvate kinase PKM [OS=Mus musculus]"	"0.000"	"330.384"	"81"	"39"	"584"	"39"	"531"	"57.8"	"7.47"	"1596.45"	"39"	"cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes"	"cytosol;ER/Golgi;nucleus;other cell component"	"nucleic acid binding activity;kinase activity;other molecular function"	"Pf00224, Pf02887"	"18746"	"Pkm"	"mmu:18746; P52480; Q3TBV8; Q3TBW5; Q3TC59; Q3U1X3; Q3U5P6; Q4VC20; Q64484; Q91YI8; Q9CWB1"	"ENSMUSG00000032294"	"Glycolysis and gluconeogenesis; Purine metabolism"	"Neutrophil degranulation; Glycolysis"	"4"	"0"	"0.461"	"0.666"	"1.561"	"1.063"	"-1.12"	"-0.59"	"0.64"	"0.09"	"0.00211781417649548"	"0.195936915676956"	"0.00114538662303842"	"0.785726901495656"	"0.0167429033401562"	"0.55785345000588"	"0.0116971341857198"	"0.939824248479624"	"42.46"	"44.86"	"26.75"	"24.97"	"29.9999821744429"	"30.1184106824343"	"30.1862757488901"	"30.2908647902611"	"1022869805.3216"	"1143133686.64731"	"1125728819.39086"	"1122559948.31947"	"569084326.393325"	"549423678.673828"	"560785586.838123"	"535333868.049511"	"765879858.956363"	"808892619.349486"	"798416588.932525"	"761859465.679351"	"893807973.52279"	"805703537.993111"	"857613147.974062"	"965802184.076102"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term]"
"False"	"High"	"IsMasterProtein"	"B2RQC6"	"CAD protein [OS=Mus musculus]"	"0.000"	"299.263"	"29"	"50"	"367"	"50"	"2225"	"243.1"	"6.43"	"903.74"	"50"	"protein metabolism;other metabolic processes;stress response;other biological processes"	"cytosol;nucleus;other cell component"	"kinase activity;other molecular function"	"Pf00117, Pf00185, Pf00988, Pf01979, Pf02142, Pf02729, Pf02786, Pf02787"	"69719"	"Cad"	"B2RQC6; B7ZN27; mmu:69719"	"ENSMUSG00000013629"	"Mechanisms associated with pluripotency"	"Pyrimidine biosynthesis"	"2"	"0"	"1.712"	"1.196"	"0.819"	"1.109"	"0.78"	"0.26"	"-0.29"	"0.15"	"0.0777818240117798"	"0.557105026455316"	"0.307777430077688"	"0.582588447212158"	"0.319583862337528"	"0.83263636274992"	"0.754392138471549"	"0.873369296139428"	"56.66"	"58.52"	"24.59"	"26.17"	"28.2027306284547"	"27.6639826800965"	"28.5953097794805"	"28.2043256335599"	"141121594.31335"	"166167858.039865"	"146476304.181195"	"145112189.171798"	"257022268.521695"	"250019913.105469"	"251785058.307096"	"246522988.124792"	"177822163.539318"	"177208845.037897"	"176684540.040857"	"178682319.431067"	"213529497.199677"	"202367719.005085"	"211757044.002809"	"229465026.325142"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P16858"	"Glyceraldehyde-3-phosphate dehydrogenase [OS=Mus musculus]"	"0.000"	"298.260"	"78"	"24"	"701"	"24"	"333"	"35.8"	"8.25"	"1667.09"	"24"	"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cytoplasmic organelle;other cell component"	"enzyme regulator activity;cytoskeletal activity;other molecular function"	"Pf00044, Pf02800"	"14433"	"Gapdh"	"A6H6A8; mmu:14433; P16858; Q0QEU0; Q3THM2; Q3TUI2; Q3UMT2; Q4V783; Q569X2; Q569X5; Q5U410"	"ENSMUSG00000057666"	"Glycolysis and gluconeogenesis"	"Gluconeogenesis; Glycolysis"	"3"	"0"	"0.774"	"0.644"	"0.902"	"0.966"	"-0.37"	"-0.64"	"-0.15"	"-0.05"	"0.245750746394989"	"0.160495780268349"	"0.704303549257426"	"0.72590147010837"	"0.646992273412573"	"0.513854984223477"	"0.921155605413377"	"0.924605341024827"	"47.45"	"55.11"	"34.23"	"40.68"	"30.8974051987422"	"30.66248689403"	"31.0014599480988"	"30.784186432154"	"1907381084.71544"	"1758838820.07829"	"1690576783.53292"	"1744602620.75578"	"1232694258.89531"	"1249113048.04688"	"1284518345.1823"	"1208369805.05289"	"1061749819.24383"	"1107974475.96762"	"1052875624.18061"	"1051634597.2076"	"1328563241.16227"	"1115754125.06087"	"1318837332.65395"	"1219878727.88806"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term]"
