"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene Symbol"	"Gene ID"	"Ensembl Gene ID"	"Reactome Pathways"	"WikiPathways"	"Number of Protein Pathway Groups"	"Number of Razor Peptides"	"Abundance Ratio Con_Abeta  Con"	"Abundance Ratio siIft88  Con"	"Abundance Ratio siIft88_Abeta  Con_Abeta"	"Abundance Ratio siIft88_Abeta  siIft88"	"Abundance Ratio log2 Con_Abeta  Con"	"Abundance Ratio log2 siIft88  Con"	"Abundance Ratio log2 siIft88_Abeta  Con_Abeta"	"Abundance Ratio log2 siIft88_Abeta  siIft88"	"Abundance Ratio P-Value Con_Abeta  Con"	"Abundance Ratio P-Value siIft88  Con"	"Abundance Ratio P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio P-Value siIft88_Abeta  siIft88"	"Abundance Ratio Adj P-Value Con_Abeta  Con"	"Abundance Ratio Adj P-Value siIft88  Con"	"Abundance Ratio Adj P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio Adj P-Value siIft88_Abeta  siIft88"	"Abundance Ratio Variability in Percent Con_Abeta  Con"	"Abundance Ratio Variability in Percent siIft88  Con"	"Abundance Ratio Variability in Percent siIft88_Abeta  Con_Abeta"	"Abundance Ratio Variability in Percent siIft88_Abeta  siIft88"	"Abundance Ratio Weight Con_Abeta  Con"	"Abundance Ratio Weight siIft88  Con"	"Abundance Ratio Weight siIft88_Abeta  Con_Abeta"	"Abundance Ratio Weight siIft88_Abeta  siIft88"	"Abundance F1 Sample Con"	"Abundance F2 Sample Con"	"Abundance F3 Sample Con"	"Abundance F4 Sample Con"	"Abundance F5 Sample Con_Abeta"	"Abundance F6 Sample Con_Abeta"	"Abundance F7 Sample Con_Abeta"	"Abundance F8 Sample Con_Abeta"	"Abundance F9 Sample siIft88"	"Abundance F10 Sample siIft88"	"Abundance F11 Sample siIft88"	"Abundance F12 Sample siIft88"	"Abundance F13 Sample siIft88_Abeta"	"Abundance F14 Sample siIft88_Abeta"	"Abundance F15 Sample siIft88_Abeta"	"Abundance F16 Sample siIft88_Abeta"	"Abundances Normalized F1 Sample Con"	"Abundances Normalized F2 Sample Con"	"Abundances Normalized F3 Sample Con"	"Abundances Normalized F4 Sample Con"	"Abundances Normalized F5 Sample Con_Abeta"	"Abundances Normalized F6 Sample Con_Abeta"	"Abundances Normalized F7 Sample Con_Abeta"	"Abundances Normalized F8 Sample Con_Abeta"	"Abundances Normalized F9 Sample siIft88"	"Abundances Normalized F10 Sample siIft88"	"Abundances Normalized F11 Sample siIft88"	"Abundances Normalized F12 Sample siIft88"	"Abundances Normalized F13 Sample siIft88_Abeta"	"Abundances Normalized F14 Sample siIft88_Abeta"	"Abundances Normalized F15 Sample siIft88_Abeta"	"Abundances Normalized F16 Sample siIft88_Abeta"	"Found in Sample F1 Sample Con"	"Found in Sample F2 Sample Con"	"Found in Sample F3 Sample Con"	"Found in Sample F4 Sample Con"	"Found in Sample F5 Sample Con_Abeta"	"Found in Sample F6 Sample Con_Abeta"	"Found in Sample F7 Sample Con_Abeta"	"Found in Sample F8 Sample Con_Abeta"	"Found in Sample F9 Sample siIft88"	"Found in Sample F10 Sample siIft88"	"Found in Sample F11 Sample siIft88"	"Found in Sample F12 Sample siIft88"	"Found in Sample F13 Sample siIft88_Abeta"	"Found in Sample F14 Sample siIft88_Abeta"	"Found in Sample F15 Sample siIft88_Abeta"	"Found in Sample F16 Sample siIft88_Abeta"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"P19096"	"Fatty acid synthase [OS=Mus musculus]"	"0.000"	"961.426"	"61"	"89"	"931"	"89"	"2504"	"272.3"	"6.58"	"2962.65"	"89"	"other metabolic processes;stress response;other biological processes"	"plasma membrane;other membranes;cytosol;ER/Golgi;other cell component"	"other molecular function"	"Pf00107, Pf00109, Pf00550, Pf00698, Pf00975, Pf02801, Pf08242, Pf08659, Pf14765, Pf16197"	"14104"	"Fasn"	"B1ATU8; mmu:14104; P19096; Q6PB72; Q8C4Z0; Q9EQR0"	"ENSMUSG00000025153"	"ChREBP activates metabolic gene expression; Fatty acyl-CoA biosynthesis; Vitamin B5 (pantothenate) metabolism"	"Fatty acid biosynthesis; Dysregulated miRNA targeting in insulin/PI3K-AKT signaling; Cholesterol metabolism with Bloch and Kandutsch-Russell pathways; Omega-9 fatty acid synthesis"	"7"	"0"	"0.873"	"1.169"	"1.354"	"0.953"	"-0.20"	"0.23"	"0.44"	"-0.07"	"0.70073827308939"	"0.800788108980234"	"0.918675035297312"	"0.918134104480142"	"0.909569598893821"	"0.963392276646502"	"0.982805760779852"	"0.978436245663282"	"47.93"	"108.83"	"90.22"	"46.48"	"30.3181183349595"	"29.6019816188668"	"29.3396887008282"	"27.2135103846657"	"773029418.429688"	"708492524.164063"	"923284283.929688"	"690958765.140625"	"598579824.242188"	"579619605.882813"	"622919473.521484"	""	"68865851.1591797"	"70168685.8144531"	"79747255.1816406"	"109300654.8125"	"77036561.3457031"	"97792587.5644531"	"59934408.4765625"	"84792311.7539063"	"823138572.604938"	"733537640.429915"	"923284283.929688"	"802573428.277427"	"720888397.536019"	"663348378.609285"	"736700294.768338"	""	"704810154.948307"	"798387396.64929"	"816218959.094049"	"847811522.590002"	"787253258.638539"	"764137126.711162"	"736675752.736894"	"688235637.937946"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"P01027"	"Complement C3 [OS=Mus musculus]"	"0.000"	"815.336"	"65"	"74"	"1927"	"74"	"1663"	"186.4"	"6.73"	"5652.49"	"74"	"cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;other cell component"	"signal transduction activity or receptor binding;enzyme regulator activity;other molecular function"	"Pf00207, Pf01759, Pf01821, Pf01835, Pf07677, Pf07678, Pf07703, Pf17789, Pf17790, Pf17791"	"12266"	"C3"	"mmu:12266; P01027; Q61370; Q80XP1"	"ENSMUSG00000024164"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; Regulation of Complement cascade; Neutrophil degranulation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; G alpha (i) signalling events; Peptide ligand-binding receptors; Alternative complement activation; Activation of C3 and C5"	"Complement activation, classical pathway; Tyrobp causal network in microglia; Comprehensive IL-17A signaling"	"12"	"0"	"0.988"	"0.367"	"0.375"	"0.981"	"-0.02"	"-1.45"	"-1.42"	"-0.03"	"0.73878231086915"	"0.0930725660209097"	"0.0486121578269731"	"0.843212108877213"	"0.920562860576055"	"0.372769196670368"	"0.212977674350742"	"0.962931625573019"	"53.02"	"95.14"	"93.29"	"46.90"	"32.6465682658647"	"31.7369320194667"	"31.7737446016898"	"28.9734977251031"	"3042041080.71094"	"3778308467.85938"	"3398645609.44922"	"3298028562.87109"	"3375554721.27734"	"3665609216.02148"	"3039594094.16406"	""	"254955836.414063"	"201476480.365234"	"209470872.661133"	"307918860.128906"	"221810999.735352"	"375443977.800293"	"247456529.492188"	"354070157.92041"	"3239231642.78611"	"3911871168.43613"	"3398645609.44922"	"3830778656.84449"	"4065286090.95285"	"4195123673.15387"	"3594798301.11545"	""	"2609355138.18909"	"2292422620.97103"	"2143949622.52385"	"2388431781.01629"	"2266734512.71936"	"2933664908.37806"	"3041578781.98804"	"2873889105.8707"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P26039"	"Talin-1 [OS=Mus musculus]"	"0.000"	"806.794"	"53"	"77"	"739"	"77"	"2541"	"269.7"	"6.18"	"2290.06"	"77"	"cell adhesion;cell organization and biogenesis;signal transduction"	"plasma membrane;other membranes;cytoskeleton;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"	"Pf00373, Pf01608, Pf08913, Pf09141, Pf16511"	"21894"	"Tln1"	"A2AIM8; mmu:21894; P26039; Q8VEF0"	"ENSMUSG00000028465"	"Platelet degranulation ; MAP2K and MAPK activation; GRB2:SOS provides linkage to MAPK signaling for Integrins ; p130Cas linkage to MAPK signaling for integrins; Smooth Muscle Contraction; SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"	"Primary focal segmental glomerulosclerosis (FSGS); Integrin-mediated cell adhesion; Focal adhesion"	"10"	"0"	"1.011"	"1.902"	"1.820"	"0.995"	"0.02"	"0.93"	"0.86"	"-0.01"	"0.641632878622998"	"0.728363354172517"	"0.742525569882318"	"0.724364785308735"	"0.887227982303984"	"0.939912736134751"	"0.922676701168849"	"0.914037583906866"	"43.32"	"89.82"	"68.66"	"40.01"	"29.4213731988131"	"28.7630584120369"	"28.4916437768876"	"26.7646084719831"	"385295954.78125"	"418166620.671875"	"425992161.71875"	"323528866.125"	"317378056.070313"	"317583453.507813"	"353618823.648438"	""	"46896929.0742188"	"44146787.703125"	"62554169.4736328"	"71950117.5214844"	"52148051.4375"	"69799482.3339844"	"46510752.6582031"	"68687507.8867188"	"410271530.019322"	"432948754.958447"	"425992161.71875"	"375790400.719216"	"382228316.070094"	"363459874.061158"	"418209901.425488"	""	"479968392.040906"	"502307239.983494"	"640246475.925303"	"558094906.11984"	"532912200.501689"	"545403053.595084"	"571680685.532086"	"557517419.102632"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q9JHU4"	"Cytoplasmic dynein 1 heavy chain 1 [OS=Mus musculus]"	"0.000"	"760.772"	"39"	"124"	"610"	"124"	"4644"	"531.7"	"6.42"	"1496.00"	"124"	"cell cycle OR cell proliferation;cell organization and biogenesis;transport;other biological processes"	"cytoskeleton;nucleus;other cell component"	"cytoskeletal activity;other molecular function"	"Pf03028, Pf08385, Pf08393, Pf12774, Pf12775, Pf12777, Pf12780, Pf12781, Pf17852, Pf18198, Pf18199"	"13424"	"Dync1h1"	"E9QM71; mmu:13424; Q9JHU4"	"ENSMUSG00000018707"	"Neutrophil degranulation; MHC class II antigen presentation; COPI-mediated anterograde transport; Anchoring of the basal body to the plasma membrane; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Recruitment of NuMA to mitotic centrosomes; AURKA Activation by TPX2; Separation of Sister Chromatids; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; COPI-independent Golgi-to-ER retrograde traffic; Aggrephagy"	""	"19"	"0"	"0.976"	"1.767"	"1.787"	"0.949"	"-0.04"	"0.82"	"0.84"	"-0.08"	"0.794757313803373"	"0.797788027487793"	"0.762788962500225"	"0.878845845202405"	"0.925991374461535"	"0.963392276646502"	"0.924202442282906"	"0.966985665360006"	"44.48"	"91.45"	"67.76"	"37.15"	"30.7739416380471"	"29.75148451619"	"30.1354521379338"	"27.8813605251777"	"807762588.546875"	"755364892.835938"	"839801745.90625"	"704952490.828125"	"593221023.5625"	"1148162639.53125"	"1054904410.22266"	""	"121606441.898438"	"91154598.3574219"	"123824980.375"	"142488818.207031"	"115417288.916016"	"149768004.007813"	"91292353.3496094"	"134369421.376953"	"860123209.141001"	"782066941.084845"	"839801745.90625"	"818827643.385481"	"714434626.32917"	"1314020122.133"	"1247590455.90609"	""	"1244585723.03183"	"1037167528.94071"	"1267357683.48791"	"1105241886.45883"	"1179474203.09444"	"1170265508.93102"	"1122107731.30839"	"1090639263.48794"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q68FD5"	"Clathrin heavy chain 1 [OS=Mus musculus]"	"0.000"	"711.510"	"63"	"71"	"603"	"71"	"1675"	"191.4"	"5.69"	"2044.95"	"71"	"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00637, Pf01394, Pf09268, Pf13838"	"67300"	"Cltc"	"mmu:67300; Q68FD5"	"ENSMUSG00000047126"	"MHC class II antigen presentation; Recycling pathway of L1; Cargo recognition for clathrin-mediated endocytosis; Golgi Associated Vesicle Biogenesis; RHOU GTPase cycle; LDL clearance; RHOV GTPase cycle; Retrograde neurotrophin signalling; Formation of annular gap junctions; Lysosome Vesicle Biogenesis; WNT5A-dependent internalization of FZD4; WNT5A-dependent internalization of FZD2, FZD5 and ROR2; VLDLR internalisation and degradation"	"IL-7 signaling pathway; Kit receptor signaling pathway"	"17"	"0"	"0.973"	"1.482"	"1.690"	"0.982"	"-0.04"	"0.57"	"0.76"	"-0.03"	"0.808798672378235"	"0.968324548828141"	"0.825259182111948"	"0.827271253380409"	"0.925991374461535"	"0.996488699929306"	"0.938152597100395"	"0.96015628590811"	"49.62"	"115.95"	"94.55"	"35.11"	"29.5808441046512"	"28.9487403982488"	"28.5741204783005"	"26.7740234044944"	"452219120.820313"	"471800336.46875"	"492097407.3125"	"386831815.515625"	"341104795.65625"	"337363576.8125"	"399919125.214844"	""	"50312866.9628906"	"45893119.9335938"	"62830884.7441406"	"72239647.2148438"	"51882687.9589844"	"70409484.4863281"	"44321501.484375"	"66037427.140625"	"481532775.780835"	"488478415.457755"	"492097407.3125"	"449319050.583244"	"410803170.393852"	"386097329.022453"	"472967293.450828"	""	"514928937.392239"	"522177209.429059"	"643078676.852406"	"560340698.796774"	"530200393.801912"	"550169522.134147"	"544771798.00981"	"536007449.918535"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q91ZX7"	"Prolow-density lipoprotein receptor-related protein 1 [OS=Mus musculus]"	"0.000"	"693.963"	"29"	"84"	"551"	"83"	"4545"	"504.4"	"5.36"	"1671.57"	"84"	"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes"	"plasma membrane;other membranes;cytoskeleton;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;other molecular function"	"Pf00008, Pf00057, Pf00058, Pf07645, Pf12662, Pf14670, Pf16472"	"16971"	"Lrp1"	"mmu:16971; Q61291; Q91ZX7; Q920Y4"	""	"Scavenging of heme from plasma; Retinoid metabolism and transport"	"Statin pathway; Wnt signaling pathway"	"4"	"1"	"1.089"	"0.543"	"0.516"	"0.995"	"0.12"	"-0.88"	"-0.96"	"-0.01"	"0.371008716963621"	"0.231710800823522"	"0.131930479885455"	"0.725611880584085"	"0.775164878793986"	"0.658205255380687"	"0.448168172652315"	"0.914643947605406"	"48.72"	"74.80"	"63.10"	"33.38"	"30.8871488534666"	"30.1150336689624"	"29.6770899476546"	"25.0759238150087"	"1161039418.8125"	"1131446979.34375"	"1345353100.97656"	"975673173.535156"	"1041259387.71094"	"839756462.445313"	"603677842.03125"	""	"17880018.3164063"	"15625969.5585938"	"14359307.0332031"	"20882373.4609375"	"16213876.4003906"	"21457968.9257813"	"13866058.8398438"	"23116469.9882813"	"1236300077.53232"	"1171443479.20766"	"1345353100.97656"	"1133279441.94045"	"1254021236.6439"	"961063225.149758"	"713944037.831075"	""	"182993722.838566"	"177794083.089939"	"146968552.249948"	"161978140.657816"	"165693104.785524"	"167669463.794452"	"170432804.677308"	"187629964.794835"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q8BTM8"	"Filamin-A [OS=Mus musculus]"	"0.000"	"630.340"	"48"	"76"	"644"	"72"	"2647"	"281.0"	"6.04"	"1618.07"	"76"	"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"	"Pf00307, Pf00630"	"192176"	"Flna"	"B7FAV0; O54934; Q7TQI1; Q8BLK1; Q8BTM8; Q8BTN7; Q8VHX5; Q8VHX8; Q99KQ2"	"ENSMUSG00000031328"	"Platelet degranulation ; Cell-extracellular matrix interactions; RHO GTPases activate PAKs; GP1b-IX-V activation signalling"	"Mapk signaling pathway; Focal adhesion"	"6"	"4"	"0.921"	"1.779"	"2.056"	"0.997"	"-0.12"	"0.83"	"1.04"	"0.00"	"0.942961424584563"	"0.791235584677273"	"0.612497629664298"	"0.707218916091858"	"0.97890914524927"	"0.960631972616733"	"0.87987957188763"	"0.913169085768584"	"54.62"	"99.79"	"72.69"	"38.56"	"29.0415768250225"	"28.3934631039086"	"28.0616256577217"	"26.2568054502735"	"334746811.914063"	"318162846.8125"	"310420017.070313"	"278755148.125"	"238300431.945313"	"245953759.984375"	"190174570.105469"	""	"40160242.1875"	"36590513.0664063"	"28259922.5087891"	"47531388.9296875"	"34760146.3125"	"58965115.3085938"	"36320273.7421875"	"48221255.4804688"	"356445700.996382"	"329409861.026652"	"310420017.070313"	"323784118.774629"	"286992660.894784"	"281482935.088084"	"224911353.408361"	""	"411021515.634899"	"416331076.03581"	"289242363.033864"	"368686347.656605"	"355221442.61433"	"460744877.605419"	"446425779.093142"	"391398534.151184"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q6P4T2"	"U5 small nuclear ribonucleoprotein 200 kDa helicase [OS=Mus musculus]"	"0.000"	"576.032"	"46"	"66"	"482"	"66"	"2136"	"244.4"	"6.06"	"1445.59"	"66"	"cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes"	"nucleus"	"nucleic acid binding activity;other molecular function"	"Pf00270, Pf00271, Pf02889, Pf18149"	"320632"	"Snrnp200"	"mmu:320632; Q69ZZ3; Q6P4T2"	"ENSMUSG00000003660"	"mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway"	""	"2"	"0"	"0.909"	"1.464"	"1.740"	"0.918"	"-0.14"	"0.55"	"0.80"	"-0.12"	"0.88112481250159"	"0.979924772718202"	"0.792326811121147"	"0.615487924273129"	"0.957205040329038"	"0.996488699929306"	"0.928257372340818"	"0.880081851255948"	"52.51"	"103.88"	"82.62"	"36.72"	"28.4870207806567"	"27.85826399964"	"27.3916915770767"	"25.3637477694151"	"218142679.4375"	"226105598.609375"	"263319268.527344"	"165946278.53125"	"133493496.8125"	"154136625.65625"	"165674602.328125"	""	"19822661.7265625"	"18124809.2578125"	"22734906.7285156"	"27904561.9023438"	"19653648.8671875"	"25323537.2695313"	"15745027.0195313"	"24509610.7207031"	"232283079.395811"	"234098401.373544"	"263319268.527344"	"192752564.103591"	"160770392.019939"	"176402384.728946"	"195936286.404357"	""	"202875780.198994"	"206226169.268361"	"232693424.529568"	"216447094.065601"	"200844882.540879"	"197874455.408484"	"193527890.343854"	"198937701.084636"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q01853"	"Transitional endoplasmic reticulum ATPase [OS=Mus musculus]"	"0.000"	"486.108"	"68"	"39"	"682"	"39"	"806"	"89.3"	"5.26"	"2070.99"	"39"	"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;transport;other biological processes"	"other membranes;cytosol;ER/Golgi;nucleus;other cell component"	"signal transduction activity or receptor binding;enzyme regulator activity;nucleic acid binding activity;other molecular function"	"Pf00004, Pf02359, Pf02933, Pf09336, Pf17862"	"269523"	"Vcp"	"mmu:269523; Q01853; Q3TFH9; Q3TIM2; Q3TXN9; Q6PI18; Q8BSR6; Q8CEG4"	"ENSMUSG00000028452"	"Neutrophil degranulation; Ovarian tumor domain proteases; Neddylation; RHOH GTPase cycle; ABC-family proteins mediated transport; Translesion Synthesis by POLH; Hedgehog ligand biogenesis; KEAP1-NFE2L2 pathway; HSF1 activation; N-glycan trimming in the ER and Calnexin/Calreticulin cycle; Josephin domain DUBs; Protein methylation"	"IL-9 signaling pathway"	"13"	"0"	"1.107"	"2.172"	"1.564"	"1.005"	"0.15"	"1.12"	"0.65"	"0.01"	"0.321691804615864"	"0.609645400191793"	"0.913683627940136"	"0.643168057952624"	"0.74072434796115"	"0.935751121632902"	"0.981976601059153"	"0.897772748422874"	"62.06"	"96.24"	"82.14"	"38.32"	"31.705060351036"	"30.8011253498616"	"30.8873200879043"	"28.4082595335709"	"1582222950.92188"	"1813642634.40625"	"1837351234.16406"	"1399743940.82813"	"1327039763.65625"	"1806869919.39063"	"2456406703.14844"	""	"135139338.005859"	"153300868.824219"	"269693844.449219"	"204285246.703125"	"169449481.15625"	"189659591.591797"	"135192105.578125"	"204503656.919922"	"1684785482.04575"	"1877754659.71944"	"1837351234.16406"	"1625852872.81557"	"1598195478.60615"	"2067880760.45169"	"2905087445.81407"	""	"1383088659.41934"	"1744274958.89387"	"2760336120.52257"	"1584577753.41931"	"1731640845.39332"	"1481972601.21224"	"1661695654.83902"	"1659899369.05384"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q8VDD5"	"Myosin-9 [OS=Mus musculus]"	"0.000"	"470.141"	"37"	"57"	"446"	"57"	"1960"	"226.2"	"5.66"	"1247.90"	"57"	"cell adhesion;cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;stress response;transport;developmental processes;signal transduction;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"	"Pf00063, Pf01576, Pf02736"	"17886"	"Myh9"	"mmu:17886; Q3UHT9; Q3UHU4; Q6KAN6; Q811I2; Q8VDD5"	"ENSMUSG00000022443"	"Regulation of actin dynamics for phagocytic cup formation; RHO GTPases activate PAKs"	"Primary focal segmental glomerulosclerosis (FSGS)"	"3"	"0"	"1.009"	"2.300"	"1.741"	"0.921"	"0.01"	"1.20"	"0.80"	"-0.12"	"0.649773514349467"	"0.56140088353574"	"0.791810191057534"	"0.637429320403547"	"0.888328736802356"	"0.922949937038332"	"0.928121818885161"	"0.894820778756247"	"65.54"	"84.59"	"83.16"	"38.17"	"28.4147699855294"	"27.6569819885631"	"27.7086678460955"	"26.1240707246467"	"174894814.625"	"178852767.9375"	"175715736.265625"	"147054517.875"	"124529553.25"	"182542785.875"	"267543750.980469"	""	"31290803.9921875"	"27434759.484375"	"42174048.2529297"	"46016422.7949219"	"35390039.1855469"	"40167101.90625"	"24488547.5917969"	"38283789.5859375"	"186231810.373879"	"185175189.437641"	"175715736.265625"	"170809105.418328"	"149974834.520896"	"208911948.126001"	"316412583.951656"	""	"320246915.400987"	"312155856.251165"	"431654452.399427"	"356935221.850531"	"361658453.927362"	"313859921.323046"	"300997702.140914"	"310738884.261473"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"n/a"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
