"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene Symbol"	"Gene ID"	"Ensembl Gene ID"	"WikiPathways"	"Reactome Pathways"	"Number of Protein Pathway Groups"	"Number of Razor Peptides"	"Abundance Ratio Con_Abeta  Con"	"Abundance Ratio siIft88  Con"	"Abundance Ratio siIft88_Abeta  Con_Abeta"	"Abundance Ratio siIft88_Abeta  siIft88"	"Abundance Ratio log2 Con_Abeta  Con"	"Abundance Ratio log2 siIft88  Con"	"Abundance Ratio log2 siIft88_Abeta  Con_Abeta"	"Abundance Ratio log2 siIft88_Abeta  siIft88"	"Abundance Ratio P-Value Con_Abeta  Con"	"Abundance Ratio P-Value siIft88  Con"	"Abundance Ratio P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio P-Value siIft88_Abeta  siIft88"	"Abundance Ratio Adj P-Value Con_Abeta  Con"	"Abundance Ratio Adj P-Value siIft88  Con"	"Abundance Ratio Adj P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio Adj P-Value siIft88_Abeta  siIft88"	"Abundance F1 Sample Con"	"Abundance F2 Sample Con"	"Abundance F3 Sample Con"	"Abundance F4 Sample Con"	"Abundance F5 Sample Con_Abeta"	"Abundance F6 Sample Con_Abeta"	"Abundance F7 Sample Con_Abeta"	"Abundance F8 Sample Con_Abeta"	"Abundance F9 Sample siIft88"	"Abundance F10 Sample siIft88"	"Abundance F11 Sample siIft88"	"Abundance F12 Sample siIft88"	"Abundance F13 Sample siIft88_Abeta"	"Abundance F14 Sample siIft88_Abeta"	"Abundance F15 Sample siIft88_Abeta"	"Abundance F16 Sample siIft88_Abeta"	"Abundances Normalized F1 Sample Con"	"Abundances Normalized F2 Sample Con"	"Abundances Normalized F3 Sample Con"	"Abundances Normalized F4 Sample Con"	"Abundances Normalized F5 Sample Con_Abeta"	"Abundances Normalized F6 Sample Con_Abeta"	"Abundances Normalized F7 Sample Con_Abeta"	"Abundances Normalized F8 Sample Con_Abeta"	"Abundances Normalized F9 Sample siIft88"	"Abundances Normalized F10 Sample siIft88"	"Abundances Normalized F11 Sample siIft88"	"Abundances Normalized F12 Sample siIft88"	"Abundances Normalized F13 Sample siIft88_Abeta"	"Abundances Normalized F14 Sample siIft88_Abeta"	"Abundances Normalized F15 Sample siIft88_Abeta"	"Abundances Normalized F16 Sample siIft88_Abeta"	"Found in Sample F1 Sample Con"	"Found in Sample F2 Sample Con"	"Found in Sample F3 Sample Con"	"Found in Sample F4 Sample Con"	"Found in Sample F5 Sample Con_Abeta"	"Found in Sample F6 Sample Con_Abeta"	"Found in Sample F7 Sample Con_Abeta"	"Found in Sample F8 Sample Con_Abeta"	"Found in Sample F9 Sample siIft88"	"Found in Sample F10 Sample siIft88"	"Found in Sample F11 Sample siIft88"	"Found in Sample F12 Sample siIft88"	"Found in Sample F13 Sample siIft88_Abeta"	"Found in Sample F14 Sample siIft88_Abeta"	"Found in Sample F15 Sample siIft88_Abeta"	"Found in Sample F16 Sample siIft88_Abeta"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"Q68FD5"	"Clathrin heavy chain 1 [OS=Mus musculus]"	"0.000"	"187.834"	"35"	"38"	"184"	"38"	"1675"	"191.4"	"5.69"	"485.81"	"38"	"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00637, Pf01394, Pf09268, Pf13838"	"67300"	"Cltc"	"mmu:67300; Q68FD5"	"ENSMUSG00000047126"	"IL-7 signaling pathway; Kit receptor signaling pathway"	"Golgi Associated Vesicle Biogenesis; Cargo recognition for clathrin-mediated endocytosis; VLDLR internalisation and degradation; MHC class II antigen presentation; Lysosome Vesicle Biogenesis; Recycling pathway of L1; RHOU GTPase cycle; LDL clearance; RHOV GTPase cycle; Retrograde neurotrophin signalling; Formation of annular gap junctions; WNT5A-dependent internalization of FZD4; WNT5A-dependent internalization of FZD2, FZD5 and ROR2"	"17"	"0"	"0.861"	"2.120"	"2.832"	"1.150"	"-0.22"	"1.08"	"1.50"	"0.20"	"0.889518349694492"	"0.00181698128964847"	"0.000357717337758912"	"0.98939128387846"	"0.999998382916006"	"0.00472699038635109"	"0.00269003437994701"	"0.99999998630615"	"16152635.46875"	"15557933.8867188"	"9500046.75097656"	"7594542.08984375"	"14896620.9335938"	"10951449.4140625"	"10051870.5859375"	"15556823.4492188"	"33286409.9091797"	"25114957.4599609"	"27877037.75"	"26011222.5214844"	"27210111.2495117"	"34707036.8789063"	"22299356.3740234"	"4485538.21289063"	"20652762.2680652"	"19795157.8464152"	"12518739.3964049"	"10798327.1630007"	"14896620.9335938"	"11762832.9923029"	"12329005.9569374"	"16204649.9237644"	"37896796.2021184"	"29847883.4100329"	"34425798.8900277"	"32350836.9283658"	"36302929.8550648"	"42753900.2197462"	"40574659.6563712"	"24349220.9997879"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P19096"	"Fatty acid synthase [OS=Mus musculus]"	"0.000"	"138.124"	"19"	"36"	"156"	"36"	"2504"	"272.3"	"6.58"	"397.47"	"36"	"other metabolic processes;stress response;other biological processes"	"plasma membrane;other membranes;cytosol;ER/Golgi;other cell component"	"other molecular function"	"Pf00107, Pf00109, Pf00550, Pf00698, Pf00975, Pf02801, Pf08242, Pf08659, Pf14765, Pf16197"	"14104"	"Fasn"	"B1ATU8; mmu:14104; P19096; Q6PB72; Q8C4Z0; Q9EQR0"	"ENSMUSG00000025153"	"Fatty acid biosynthesis; Dysregulated miRNA targeting in insulin/PI3K-AKT signaling; Cholesterol metabolism with Bloch and Kandutsch-Russell pathways; Omega-9 fatty acid synthesis"	"ChREBP activates metabolic gene expression; Fatty acyl-CoA biosynthesis; Vitamin B5 (pantothenate) metabolism"	"7"	"0"	"1.146"	"5.058"	"4.378"	"0.992"	"0.20"	"2.34"	"2.13"	"-0.01"	"0.813199318811031"	"5.29394748038925E-08"	"9.38257955773736E-08"	"0.996620741268935"	"0.999998382916006"	"6.52920189248007E-07"	"3.52784991370925E-06"	"0.99999998630615"	"10232986.6210938"	"6631453.84765625"	"6727786.578125"	"5331793.60742188"	"8455351.85546875"	"9255846.3203125"	"10808241.5976563"	"9485856.765625"	"35527035.828125"	"37443050.640625"	"36719101.75"	"34577306.1171875"	"33112604.1640625"	"34602632.5859375"	"22881135.0234375"	"9051634.4765625"	"13083898.3140933"	"8437539.11164478"	"8865578.14860434"	"7581030.0420261"	"8455351.85546875"	"9941604.1066175"	"13256724.0994871"	"9880872.44260939"	"40447763.5202262"	"44499211.7473837"	"45345004.8604236"	"43004698.8639381"	"44177862.2389153"	"42625289.6806307"	"41633231.4958176"	"49135741.9820277"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"P11499"	"Heat shock protein HSP 90-beta [OS=Mus musculus]"	"0.000"	"92.860"	"36"	"20"	"157"	"12"	"724"	"83.2"	"5.03"	"343.11"	"20"	"cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;developmental processes;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;enzyme regulator activity;cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00183, Pf02518"	"15516"	"Hsp90ab1"	"mmu:15516; O89078; P11499; Q3UIQ7"	"ENSMUSG00000023944"	"Focal adhesion: PI3K-Akt-mTOR signaling pathway"	"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; The role of GTSE1 in G2/M progression after G2 checkpoint; Neutrophil degranulation; Regulation of actin dynamics for phagocytic cup formation; Attenuation phase; Estrogen-dependent gene expression; Sema3A PAK dependent Axon repulsion; Aryl hydrocarbon receptor signalling; DDX58/IFIH1-mediated induction of interferon-alpha/beta; HSF1 activation; RHOBTB2 GTPase cycle; The NLRP3 inflammasome"	"15"	"8"	"1.347"	"4.730"	"3.331"	"0.949"	"0.43"	"2.24"	"1.74"	"-0.08"	"0.10114249578139"	"1.3677687282776E-07"	"8.41278010366153E-07"	"0.918000770707794"	"0.389813937188195"	"1.42333433286387E-06"	"2.3549014588247E-05"	"0.99999998630615"	"11231197.4335938"	"10118003.203125"	"10316395.671875"	"9136583.84375"	"20633560.671875"	"16613442.921875"	"14650827.5839844"	"16512772.578125"	"53333232.7304688"	"51292602.90625"	"54506937.609375"	"52124355.5390625"	"45517287.0742188"	"44981228.6796875"	"32199419.5664063"	"20609477.4023438"	"14360210.8170195"	"12873654.8152691"	"13594487.7232448"	"12990884.8130472"	"20633560.671875"	"17844318.7863551"	"17969803.6313467"	"17200407.2536216"	"60720235.5886789"	"60958718.874344"	"67311487.2921399"	"64828422.6028813"	"60727825.2079128"	"55410174.2952812"	"58588260.0433058"	"111876144.208882"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P52480"	"Pyruvate kinase PKM [OS=Mus musculus]"	"0.000"	"86.589"	"56"	"21"	"125"	"21"	"531"	"57.8"	"7.47"	"330.18"	"21"	"cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes"	"cytosol;ER/Golgi;nucleus;other cell component"	"nucleic acid binding activity;kinase activity;other molecular function"	"Pf00224, Pf02887"	"18746"	"Pkm"	"mmu:18746; P52480; Q3TBV8; Q3TBW5; Q3TC59; Q3U1X3; Q3U5P6; Q4VC20; Q64484; Q91YI8; Q9CWB1"	"ENSMUSG00000032294"	"Glycolysis and gluconeogenesis; Purine metabolism"	"Neutrophil degranulation; Glycolysis"	"4"	"0"	"1.212"	"5.643"	"4.881"	"1.048"	"0.28"	"2.50"	"2.29"	"0.07"	"0.303084269512341"	"4.77200371440389E-08"	"8.19179885036547E-08"	"0.640963337087028"	"0.769442408408144"	"6.11183552652499E-07"	"3.42235151970824E-06"	"0.99999998630615"	"5851380.890625"	"8700433.140625"	"7743770.8828125"	"7953404.5234375"	"13918897.7851563"	"13284999.9375"	"9711920.359375"	"10106511.9023438"	"54023032.0976563"	"53724086.5625"	"47327290.875"	"47022310.4296875"	"44376990.328125"	"50447423.5"	"34932509.25"	"19705524.3632813"	"7481576.53330177"	"11070007.6632848"	"10204397.1117756"	"11308577.0133028"	"13918897.7851563"	"14269274.2904794"	"11912043.9265851"	"10527373.2688702"	"61505576.696656"	"63848416.808368"	"58445226.9385254"	"58482875.8221321"	"59206474.8390075"	"62143712.1868829"	"63561236.9248869"	"106969140.572549"	"High"	"High"	"High"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P07901"	"Heat shock protein HSP 90-alpha [OS=Mus musculus]"	"0.000"	"84.049"	"33"	"18"	"137"	"10"	"733"	"84.7"	"5.01"	"316.29"	"18"	"cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes"	"extracellular matrix;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;nucleus;other cell component"	"signal transduction activity or receptor binding;enzyme regulator activity;cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00183, Pf02518"	"15519"	"Hsp90aa1"	"mmu:15519; P07901"	"ENSMUSG00000021270"	"EBV LMP1 signaling; Focal adhesion: PI3K-Akt-mTOR signaling pathway; IL-6 signaling pathway; IL-2 signaling pathway"	"Regulation of actin dynamics for phagocytic cup formation; Recruitment of NuMA to mitotic centrosomes; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; The role of GTSE1 in G2/M progression after G2 checkpoint; Neutrophil degranulation; Downregulation of ERBB2 signaling; Anchoring of the basal body to the plasma membrane; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; AURKA Activation by TPX2; Extra-nuclear estrogen signaling; Attenuation phase; Estrogen-dependent gene expression; Sema3A PAK dependent Axon repulsion; Regulation of necroptotic cell death; VEGFR2 mediated vascular permeability; Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation; DDX58/IFIH1-mediated induction of interferon-alpha/beta; eNOS activation; HSF1 activation; RHOBTB2 GTPase cycle; Drug-mediated inhibition of ERBB2 signaling"	"32"	"0"	"2.972"	"6.148"	"1.871"	"0.905"	"1.57"	"2.62"	"0.90"	"-0.14"	"0.256747438846521"	"0.0181819200608259"	"0.409111456066694"	"0.99999739851942"	"0.709319195457337"	"0.0293911620400729"	"0.561408421463784"	"0.99999998630615"	"2689308.75195313"	"1583658.1640625"	"554388.96875"	"722193.7421875"	"12038631.6914063"	"8458838.1875"	"1640046.68945313"	"1043445.875"	"7851510.51953125"	"6452561.28710938"	"7269900.75"	"7035042.640625"	"5800382.03125"	"6714503.7734375"	"3721818.05859375"	"2374935.4609375"	"3438550.59609125"	"2014969.56862265"	"730549.144224946"	"1026853.7867005"	"12038631.6914063"	"9085546.31871024"	"2011580.35522373"	"1086897.66737824"	"8938996.27052924"	"7668549.60040344"	"8977716.47814199"	"8749666.30511036"	"7738699.04765"	"8271268.60055081"	"6772011.64452851"	"12892060.1394975"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P11983"	"T-complex protein 1 subunit alpha [OS=Mus musculus]"	"0.000"	"76.497"	"41"	"17"	"82"	"17"	"556"	"60.4"	"6.16"	"209.62"	"17"	"transport;other biological processes"	"cytosol;cytoskeleton;ER/Golgi;other cell component"	"other molecular function"	"Pf00118"	"21454"	"Tcp1"	"mmu:21454; P11983; P11984; Q3TJ96; Q3TKU1; Q3U5T8; Q3U7I8; Q3UAA8; Q3UB80; Q3UE48"	"ENSMUSG00000068039"	""	"Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; Association of TriC/CCT with target proteins during biosynthesis"	"2"	"0"	"1.280"	"6.884"	"6.331"	"1.177"	"0.36"	"2.78"	"2.66"	"0.24"	"0.869678071996056"	"0.000237659444298877"	"0.0003708631013285"	"0.964763318848803"	"0.999998382916006"	"0.000768355290791514"	"0.00273420639410816"	"0.99999998630615"	"9062544.95117188"	"6886977.390625"	"2092339.64453125"	"1334812.8984375"	"7086253.90625"	"5501560.2265625"	"5464151.5"	"4765658.3984375"	"32058600.7539063"	"27940083.828125"	"25611781.25"	"27726577.234375"	"30199187.46875"	"30149645.6953125"	"21650177.046875"	"7461052.53125"	"11587371.4095952"	"8762654.83095374"	"2757192.19339216"	"1897908.55172124"	"7086253.90625"	"5909166.14736432"	"6701992.0140392"	"4964112.77372988"	"36498927.4184482"	"33205406.216512"	"31628397.4802122"	"34484268.3941569"	"40290867.4023762"	"37139873.0527039"	"39393449.3194808"	"40501453.4158563"	"High"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P80314"	"T-complex protein 1 subunit beta [OS=Mus musculus]"	"0.000"	"70.698"	"43"	"15"	"69"	"15"	"535"	"57.4"	"6.40"	"191.00"	"15"	"cell organization and biogenesis;transport;other biological processes"	"cytosol;cytoskeleton;other cell component"	"other molecular function"	"Pf00118"	"12461"	"Cct2"	"mmu:12461; P80314; Q9R1U0"	"ENSMUSG00000034024"	""	"Neutrophil degranulation; RHOBTB2 GTPase cycle; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; RHOBTB1 GTPase cycle; Association of TriC/CCT with target proteins during biosynthesis"	"5"	"0"	"0.807"	"0.048"	"0.089"	"1.498"	"-0.31"	"-4.38"	"-3.48"	"0.58"	"0.748201631015112"	"6.43401818489764E-08"	"4.05883049170441E-07"	"0.729531469991307"	"0.999998382916006"	"7.65188591275326E-07"	"1.3873820589826E-05"	"0.99999998630615"	"661213820.6875"	"548901832.109375"	"556580506.75"	"562158543.226563"	"618574027.953125"	"543875214.050781"	"502814079.009766"	"615627755.392578"	"28533955.734375"	"33124365.7539063"	"27944889.484375"	"42632281.953125"	"50178383.5273438"	"36968361.703125"	"46316722.3085938"	"4185856.00585938"	"845428095.832266"	"698395975.192257"	"733437055.602487"	"799307159.723857"	"618574027.953125"	"584170466.360138"	"616720810.554012"	"641264091.737866"	"32486095.9249218"	"39366668.5930122"	"34509590.079855"	"53022882.7272727"	"66946522.9572109"	"45539515.6047877"	"84275313.2668453"	"22722431.0935648"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"P35441"	"Thrombospondin-1 [OS=Mus musculus]"	"0.000"	"65.995"	"18"	"19"	"228"	"18"	"1170"	"129.6"	"4.96"	"459.68"	"19"	"cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes"	"non-structural extracellular;extracellular matrix;plasma membrane;other membranes;cytosol;ER/Golgi;other cell component"	"signal transduction activity or receptor binding;other molecular function"	"Pf00090, Pf00093, Pf02412, Pf05735"	""	"Thbs1"	"P35441"	""	""	"Platelet degranulation ; Signaling by PDGF; Integrin cell surface interactions; O-glycosylation of TSR domain-containing proteins"	"4"	"1"	"1.421"	"1.130"	"0.803"	"1.011"	"0.51"	"0.18"	"-0.32"	"0.02"	"0.120766612786049"	"0.956988223669393"	"0.530355499756339"	"0.942908918510896"	"0.411789107225672"	"0.995865870255962"	"0.690520428191506"	"0.99999998630615"	"113507984.144531"	"74354748.875"	"60522899.3867188"	"63364968.2070313"	"137063900.390625"	"111947205.882813"	"115607946.578125"	"120597019.347656"	"89895111.71875"	"86338403.9355469"	"89803436.5117188"	"85209955.3125"	"75512424.5"	"85672367.359375"	"57847521.2109375"	"26041866.1210938"	"145131326.500847"	"94605363.4967346"	"79754386.9833357"	"90095709.4289722"	"137063900.390625"	"120241279.210365"	"141797593.775733"	"125618991.997775"	"102346174.84034"	"102608918.155044"	"110899697.188443"	"105977847.319985"	"100746455.046507"	"105535596.670262"	"105256108.998406"	"141365232.73999"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P05213"	"Tubulin alpha-1B chain [OS=Mus musculus]"	"0.000"	"61.912"	"39"	"13"	"116"	"13"	"451"	"50.1"	"5.06"	"324.58"	"13"	"cell cycle OR cell proliferation;cell organization and biogenesis;other biological processes"	"other membranes;cytosol;cytoskeleton;other cell component"	"cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00091, Pf03953"	"22143"	"Tuba1b"	"mmu:22143; P05213; Q3TY23; Q3U8B1; Q3UAW8; Q4KMW2"	"ENSMUSG00000023004"	""	"MHC class II antigen presentation; COPI-dependent Golgi-to-ER retrograde traffic; Kinesins; COPI-mediated anterograde transport; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; Recruitment of NuMA to mitotic centrosomes; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; Carboxyterminal post-translational modifications of tubulin; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Recycling pathway of L1; Hedgehog 'off' state; Intraflagellar transport; RHO GTPases activate IQGAPs; COPI-independent Golgi-to-ER retrograde traffic; The role of GTSE1 in G2/M progression after G2 checkpoint; Aggrephagy; Sealing of the nuclear envelope (NE) by ESCRT-III; RHOH GTPase cycle"	"23"	"0"	"1.536"	"4.930"	"5.423"	"1.690"	"0.62"	"2.30"	"2.44"	"0.76"	"0.0455440379237212"	"2.87323637382375E-06"	"4.57114511132062E-06"	"0.0918292275937304"	"0.209117695255396"	"2.22508770344956E-05"	"0.000101102974226856"	"0.609043847717241"	"5699700.640625"	"5603499.2578125"	"5797333.40527344"	"4819984.65625"	"11559017.09375"	"9623536.984375"	"13093109.4824219"	"10183616.8457031"	"35064076"	"21826921.09375"	"25612618.265625"	"40145694.75"	"53222667.5351563"	"29503121.6162109"	"28593753.3671875"	"12766156.9335938"	"7287638.14163365"	"7129619.72382203"	"7639468.30969335"	"6853312.6320328"	"11559017.09375"	"10336536.6594395"	"16059202.4562519"	"10607689.0620403"	"39920680.7166408"	"25940214.9912004"	"31629431.124168"	"49930249.2668494"	"71008117.1117183"	"36343451.679597"	"52027591.8153113"	"69299593.8816736"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P58252"	"Elongation factor 2 [OS=Mus musculus]"	"0.000"	"61.005"	"21"	"12"	"55"	"12"	"858"	"95.3"	"6.83"	"148.16"	"12"	"protein metabolism;other metabolic processes;other biological processes"	"plasma membrane;other membranes;cytosol;translational apparatus;other cell component"	"cytoskeletal activity;translation activity;nucleic acid binding activity;other molecular function"	"Pf00009, Pf00679, Pf03144, Pf03764, Pf14492"	"13629"	"Eef2"	"mmu:13629; P58252; Q544E4"	"ENSMUSG00000034994"	"Translation factors"	"Neutrophil degranulation; Protein methylation; Peptide chain elongation; Synthesis of diphthamide-EEF2"	"5"	"0"	"0.719"	"1.939"	"2.247"	"0.833"	"-0.48"	"0.96"	"1.17"	"-0.26"	"0.498386557105407"	"0.0141194212859651"	"0.0152576022805616"	"0.473989037408333"	"0.95572951539037"	"0.0229354501864701"	"0.0398392948436887"	"0.99999998630615"	"5663907.3359375"	"4169628.8125"	"3025113.09375"	"3868700.9609375"	"6431406.796875"	"3935397.828125"	"2502028.125"	"3428345.5546875"	"7900347.890625"	"8840885.62890625"	"9875891.12109375"	"8400289.9375"	"6325163.19140625"	"8290537.484375"	"4964555.484375"	"976036.359375"	"7241872.81659245"	"5305232.7581144"	"3986359.58937944"	"5500726.46616642"	"6431406.796875"	"4226968.10808114"	"3068833.74530363"	"3571110.75488838"	"8994597.93812983"	"10506954.8261715"	"12195895.5841563"	"10447660.0319187"	"8438846.63145504"	"10212707.4002811"	"9033227.04678325"	"5298299.53291934"	"Peak Found"	"High"	"Peak Found"	"High"	"High"	"High"	"Peak Found"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
