"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Biological Process"	"Cellular Component"	"Molecular Function"	"Pfam IDs"	"Entrez Gene ID"	"Gene Symbol"	"Gene ID"	"Ensembl Gene ID"	"WikiPathways"	"Reactome Pathways"	"Number of Protein Pathway Groups"	"Number of Razor Peptides"	"Abundance Ratio Con_Abeta  Con"	"Abundance Ratio siIft88  Con"	"Abundance Ratio siIft88_Abeta  Con_Abeta"	"Abundance Ratio siIft88_Abeta  siIft88"	"Abundance Ratio log2 Con_Abeta  Con"	"Abundance Ratio log2 siIft88  Con"	"Abundance Ratio log2 siIft88_Abeta  Con_Abeta"	"Abundance Ratio log2 siIft88_Abeta  siIft88"	"Abundance Ratio P-Value Con_Abeta  Con"	"Abundance Ratio P-Value siIft88  Con"	"Abundance Ratio P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio P-Value siIft88_Abeta  siIft88"	"Abundance Ratio Adj P-Value Con_Abeta  Con"	"Abundance Ratio Adj P-Value siIft88  Con"	"Abundance Ratio Adj P-Value siIft88_Abeta  Con_Abeta"	"Abundance Ratio Adj P-Value siIft88_Abeta  siIft88"	"Abundance Ratio Variability in Percent Con_Abeta  Con"	"Abundance Ratio Variability in Percent siIft88  Con"	"Abundance Ratio Variability in Percent siIft88_Abeta  Con_Abeta"	"Abundance Ratio Variability in Percent siIft88_Abeta  siIft88"	"Abundance Ratio Weight Con_Abeta  Con"	"Abundance Ratio Weight siIft88  Con"	"Abundance Ratio Weight siIft88_Abeta  Con_Abeta"	"Abundance Ratio Weight siIft88_Abeta  siIft88"	"Abundance F1 Sample Con"	"Abundance F2 Sample Con"	"Abundance F3 Sample Con"	"Abundance F4 Sample Con"	"Abundance F5 Sample Con_Abeta"	"Abundance F6 Sample Con_Abeta"	"Abundance F7 Sample Con_Abeta"	"Abundance F8 Sample Con_Abeta"	"Abundance F9 Sample siIft88"	"Abundance F10 Sample siIft88"	"Abundance F11 Sample siIft88"	"Abundance F12 Sample siIft88"	"Abundance F13 Sample siIft88_Abeta"	"Abundance F14 Sample siIft88_Abeta"	"Abundance F15 Sample siIft88_Abeta"	"Abundance F16 Sample siIft88_Abeta"	"Abundances Normalized F1 Sample Con"	"Abundances Normalized F2 Sample Con"	"Abundances Normalized F3 Sample Con"	"Abundances Normalized F4 Sample Con"	"Abundances Normalized F5 Sample Con_Abeta"	"Abundances Normalized F6 Sample Con_Abeta"	"Abundances Normalized F7 Sample Con_Abeta"	"Abundances Normalized F8 Sample Con_Abeta"	"Abundances Normalized F9 Sample siIft88"	"Abundances Normalized F10 Sample siIft88"	"Abundances Normalized F11 Sample siIft88"	"Abundances Normalized F12 Sample siIft88"	"Abundances Normalized F13 Sample siIft88_Abeta"	"Abundances Normalized F14 Sample siIft88_Abeta"	"Abundances Normalized F15 Sample siIft88_Abeta"	"Abundances Normalized F16 Sample siIft88_Abeta"	"Found in Sample F1 Sample Con"	"Found in Sample F2 Sample Con"	"Found in Sample F3 Sample Con"	"Found in Sample F4 Sample Con"	"Found in Sample F5 Sample Con_Abeta"	"Found in Sample F6 Sample Con_Abeta"	"Found in Sample F7 Sample Con_Abeta"	"Found in Sample F8 Sample Con_Abeta"	"Found in Sample F9 Sample siIft88"	"Found in Sample F10 Sample siIft88"	"Found in Sample F11 Sample siIft88"	"Found in Sample F12 Sample siIft88"	"Found in Sample F13 Sample siIft88_Abeta"	"Found in Sample F14 Sample siIft88_Abeta"	"Found in Sample F15 Sample siIft88_Abeta"	"Found in Sample F16 Sample siIft88_Abeta"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"Q8VDD5"	"Myosin-9 [OS=Mus musculus]"	"0.000"	"547.970"	"52"	"93"	"1293"	"80"	"1960"	"226.2"	"5.66"	"3544.95"	"93"	"cell adhesion;cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;stress response;transport;developmental processes;signal transduction;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"	"Pf00063, Pf01576, Pf02736"	"17886"	"Myh9"	"mmu:17886; Q3UHT9; Q3UHU4; Q6KAN6; Q811I2; Q8VDD5"	"ENSMUSG00000022443"	"Primary focal segmental glomerulosclerosis (FSGS)"	"Regulation of actin dynamics for phagocytic cup formation; RHO GTPases activate PAKs"	"3"	"12"	"0.909"	"0.667"	"1.011"	"1.377"	"-0.14"	"-0.59"	"0.02"	"0.46"	"0.745020127857142"	"0.124609543043105"	"0.934419726028972"	"0.066224145663941"	"0.948857547671915"	"0.49729364286282"	"0.989978893435529"	"0.326547705473346"	"34.02"	"29.47"	"28.36"	"30.28"	"30.1059002799697"	"29.8764506485083"	"30.1625419120377"	"29.9426357671105"	"515595322.726563"	"582653863.945313"	"530431558.810547"	"674423615.953125"	"575401469.738281"	"639656169.054688"	"624804346.066406"	"526081565.960938"	"501840360.328125"	"364093648.785156"	"397862174.503906"	"464055959.914063"	"592460709.90625"	"612097798.242188"	"706571694"	"576854217.9375"	"697543274.83623"	"686954696.755508"	"692884142.16529"	"675158032.129429"	"689928595.708452"	"680563287.422601"	"677974467.202113"	"679998258.430813"	"516812290.512316"	"496119240.211953"	"497170924.604559"	"500214027.17418"	"690471719.816443"	"693242441.868202"	"706571694"	"692641068.385436"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q8BTM8"	"Filamin-A [OS=Mus musculus]"	"0.000"	"262.845"	"27"	"56"	"663"	"50"	"2647"	"281.0"	"6.04"	"1496.09"	"56"	"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;other molecular function"	"Pf00307, Pf00630"	"192176"	"Flna"	"B7FAV0; O54934; Q7TQI1; Q8BLK1; Q8BTM8; Q8BTN7; Q8VHX5; Q8VHX8; Q99KQ2"	"ENSMUSG00000031328"	"Mapk signaling pathway; Focal adhesion"	"Platelet degranulation ; Cell-extracellular matrix interactions; RHO GTPases activate PAKs; GP1b-IX-V activation signalling"	"6"	"6"	"0.837"	"0.872"	"1.163"	"1.083"	"-0.26"	"-0.20"	"0.22"	"0.11"	"0.559128629430341"	"0.761428583082172"	"0.336774967951511"	"0.724914684239165"	"0.90833543457135"	"0.948372841047266"	"0.764924068093337"	"0.946467633724597"	"35.80"	"28.86"	"22.63"	"24.27"	"28.0379686926586"	"28.0711383874089"	"28.0992842169622"	"28.131088814304"	"148001240.5"	"145107548.296875"	"147503704.234375"	"183235843.921875"	"119892196.121094"	"144922424.015625"	"136318155.890625"	"112627139.148438"	"141484830.203125"	"127387678.359375"	"121348077.9375"	"147816663.941406"	"156420883.75"	"162695486.515625"	"172130597.820313"	"156794335.671875"	"200229260.095411"	"171083241.707586"	"192678915.643368"	"183435379.295002"	"143755375.77937"	"154190463.690961"	"147918671.96791"	"145578677.202062"	"145705895.640226"	"173580281.916179"	"151637275.351444"	"159334164.714264"	"182297652.506207"	"184263718.439975"	"172130597.820313"	"188266277.335808"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P60710"	"Actin, cytoplasmic 1 [OS=Mus musculus]"	"0.000"	"247.849"	"85"	"26"	"905"	"1"	"375"	"41.7"	"5.48"	"2729.95"	"26"	"cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00022"	"11461"	"Actb"	"mmu:11461; P02570; P60710; P70514; P99021; Q11211; Q3TI89; Q3TVP6; Q64316; Q6ZWM3"	"ENSMUSG00000029580"	"Myometrial relaxation and contraction pathways; Regulation of actin cytoskeleton; Focal adhesion"	"Cell-extracellular matrix interactions; Regulation of actin dynamics for phagocytic cup formation; Interaction between L1 and Ankyrins; MAP2K and MAPK activation; RHO GTPases Activate Formins; Recycling pathway of L1; RHO GTPases activate IQGAPs; Clathrin-mediated endocytosis; EPHB-mediated forward signaling; Adherens junctions interactions; Formation of annular gap junctions; VEGFA-VEGFR2 Pathway; RHO GTPases Activate WASPs and WAVEs; RHOBTB2 GTPase cycle"	"18"	"29"	"0.494"	"0.628"	"1.026"	"0.867"	"-1.02"	"-0.67"	"0.04"	"-0.21"	"0.0251095518238214"	"0.0700154167147866"	"0.86083069374826"	"0.305336147712596"	"0.182208826436906"	"0.344383326687343"	"0.977995411458305"	"0.762055783546776"	"30.82"	"28.98"	"31.54"	"21.77"	"32.0746195454951"	"32.1558962862641"	"31.754677592923"	"31.8554436189217"	"2558144669.05078"	"2958312173.81641"	"2595348357.90625"	"3298328279.3877"	"1692923532.27734"	"1871966095.49414"	"1813272164.7832"	"1625062820.29492"	"2247251442.19141"	"1634294325.89063"	"1841199205.10938"	"2203429443.51953"	"1835577858.76758"	"1907690031.31348"	"2097384417.40723"	"1810517163.45996"	"3460885953.18942"	"3487879456.44332"	"3390212536.78884"	"3301920006.58384"	"2029880729.7054"	"1991681565.07566"	"1967579511.17173"	"2100510565.54843"	"2314296053.10475"	"2226912943.82342"	"2300773408.09492"	"2375115095.47508"	"2139238231.00571"	"2160588878.82507"	"2097384417.40723"	"2173926277.09788"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"P63260"	"Actin, cytoplasmic 2 [OS=Mus musculus]"	"0.000"	"246.060"	"85"	"26"	"657"	"1"	"375"	"41.8"	"5.48"	"1772.72"	"26"	"cell organization and biogenesis;stress response;developmental processes;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component"	"cytoskeletal activity;other molecular function"	"Pf00022"	"11465"	"Actg1"	"mmu:11465; P02571; P14104; P63260; P99022"	"ENSMUSG00000062825"	"Myometrial relaxation and contraction pathways; Regulation of actin cytoskeleton; Focal adhesion"	"EPHB-mediated forward signaling; RHO GTPases Activate Formins; Regulation of actin dynamics for phagocytic cup formation; Platelet degranulation ; Interaction between L1 and Ankyrins; DNA Damage Recognition in GG-NER; MAP2K and MAPK activation; Recycling pathway of L1; RHO GTPases activate IQGAPs; Clathrin-mediated endocytosis; UCH proteinases; B-WICH complex positively regulates rRNA expression; Adherens junctions interactions; RHOF GTPase cycle; Formation of annular gap junctions; VEGFA-VEGFR2 Pathway; Cell-extracellular matrix interactions; RHO GTPases Activate WASPs and WAVEs"	"22"	"0"	"0.505"	"0.804"	"1.848"	"1.165"	"-0.99"	"-0.32"	"0.89"	"0.22"	"0.0452636550928514"	"0.489526999676864"	"0.000127074191443866"	"0.45440511739686"	"0.277526366273416"	"0.8601744559244"	"0.00187483307068719"	"0.864046348563526"	"20.74"	"33.18"	"40.68"	"44.35"	"24.0097105254313"	"24.2425173620131"	"23.9589457851729"	"24.1994319007775"	"10527403.3125"	"11445157.375"	"10107024.96875"	"13232206.1328125"	"4947196.9375"	"6709578.6875"	"5579745.9375"	"6267913.84375"	"8656090.625"	"9092637.46875"	"9192749.25"	"8201633.75"	"8701331.9375"	"9861488.046875"	"14156008.53125"	"10952513.75"	"14242408.8397276"	"13493954.3018291"	"13202452.2466559"	"13246615.3942948"	"5931880.28757558"	"7138667.84953218"	"6054575.80907681"	"8101729.41520794"	"8914336.86175305"	"12389758.5348457"	"11487313.7914635"	"8840684.31801828"	"10140796.72647"	"11168806.8045701"	"14156008.53125"	"13150915.0655601"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"E9Q555"	"E3 ubiquitin-protein ligase RNF213 [OS=Mus musculus]"	"0.000"	"245.349"	"14"	"61"	"432"	"61"	"5148"	"583.9"	"6.77"	"850.23"	"61"	"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes"	"cytosol;nucleus;other cell component"	"other molecular function"	"Pf20173"	""	"Rnf213"	"E9Q555; F7A6H4; Q8BVK6"	""	""	"Antigen processing: Ubiquitination & Proteasome degradation"	"1"	"0"	"1.340"	"1.185"	"1.169"	"1.302"	"0.42"	"0.24"	"0.23"	"0.38"	"0.372626893435778"	"0.272151097629141"	"0.320343044098953"	"0.136106831589708"	"0.825364236974549"	"0.71227406710394"	"0.75388706574453"	"0.53066526047514"	"31.32"	"30.24"	"25.22"	"26.36"	"27.0744410331278"	"26.9633576855372"	"27.4653484458225"	"27.3814152764559"	"54237816.359375"	"61371026.5742188"	"51059478.375"	"75210655.40625"	"77510369.6992188"	"90234244.328125"	"92251553.53125"	"76552336.9921875"	"84339338.3398438"	"61462961.109375"	"65237834.4140625"	"82038450.8085938"	"97621167.796875"	"105901621.71875"	"114642651.515625"	"94746928.7421875"	"73377748.7414266"	"72357050.3152515"	"66697205.861209"	"75292556.33714"	"92937928.2672819"	"96004880.3231235"	"100102053.142999"	"98949401.0085908"	"86855522.3402287"	"83750314.4273554"	"81521583.4359749"	"88430679.5018796"	"113770676.252715"	"119940798.756248"	"114642651.515625"	"113764642.62473"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q99PL5"	"Ribosome-binding protein 1 [OS=Mus musculus]"	"0.000"	"244.958"	"53"	"54"	"787"	"54"	"1605"	"172.8"	"9.33"	"1715.07"	"54"	"transport;signal transduction"	"other membranes;ER/Golgi"	""	"Pf05104"	"81910"	"Rrbp1"	"A2AVJ8; mmu:81910; Q99PK5; Q99PK6; Q99PK7; Q99PK8; Q99PK9; Q99PL0; Q99PL1; Q99PL2; Q99PL3; Q99PL4; Q99PL5; Q9CS20"	"ENSMUSG00000027422"	""	""	"0"	"0"	"1.323"	"1.905"	"1.223"	"0.820"	"0.40"	"0.93"	"0.29"	"-0.29"	"0.394290245306886"	"0.00106109555886724"	"0.201932747886395"	"0.171603694682141"	"0.836032547083574"	"0.0128761783961602"	"0.590857376729377"	"0.614395400830396"	"42.27"	"41.14"	"32.48"	"37.76"	"28.2084300908737"	"28.8805136120164"	"28.5811878165012"	"29.1254401260931"	"113412941.867188"	"139245183.125"	"110301765.304688"	"168307159.625"	"174644709.859375"	"197907724.117188"	"194893227.625"	"158023743.46875"	"304899234.085938"	"221588725.140625"	"445442198.625"	"567103846.984375"	"210504945.21875"	"223921620.820313"	"243836854.539063"	"200134936.945313"	"153435129.047522"	"164171454.902216"	"144083327.552825"	"168490438.350259"	"209405755.386746"	"210564265.378019"	"211478413.990283"	"204257053.092498"	"313995612.948258"	"301939982.537768"	"556627203.941712"	"611291145.099304"	"245328861.686129"	"253606485.189706"	"243836854.539063"	"240306254.572749"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"Q68FD5"	"Clathrin heavy chain 1 [OS=Mus musculus]"	"0.000"	"242.452"	"39"	"46"	"451"	"46"	"1675"	"191.4"	"5.69"	"1140.36"	"46"	"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;other biological processes"	"plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00637, Pf01394, Pf09268, Pf13838"	"67300"	"Cltc"	"mmu:67300; Q68FD5"	"ENSMUSG00000047126"	"IL-7 signaling pathway; Kit receptor signaling pathway"	"Recycling pathway of L1; Golgi Associated Vesicle Biogenesis; MHC class II antigen presentation; Cargo recognition for clathrin-mediated endocytosis; RHOU GTPase cycle; LDL clearance; RHOV GTPase cycle; Retrograde neurotrophin signalling; Formation of annular gap junctions; Lysosome Vesicle Biogenesis; WNT5A-dependent internalization of FZD4; WNT5A-dependent internalization of FZD2, FZD5 and ROR2; VLDLR internalisation and degradation"	"17"	"0"	"0.714"	"0.637"	"0.980"	"1.122"	"-0.49"	"-0.65"	"-0.03"	"0.17"	"0.278767428753352"	"0.0817117192467314"	"0.914364429022031"	"0.567145736421917"	"0.732093198676223"	"0.378633487003257"	"0.986068800281869"	"0.909492928792069"	"33.34"	"31.83"	"29.59"	"34.15"	"28.2173322598109"	"28.154515361965"	"28.0491317724929"	"27.9783536706386"	"145557544.8125"	"179573577.167969"	"168014807.429688"	"217581705.398438"	"133300307.828125"	"152060376.4375"	"143653495.125"	"118728058.75"	"146705698.3125"	"97023700.9375"	"110406096.140625"	"141711855.826172"	"127614842.453125"	"144455456.351563"	"175808145.425781"	"134433680.75"	"196923210.91803"	"211719032.314359"	"219471850.389213"	"217818641.828794"	"159832219.805058"	"161784900.516101"	"155878240.015862"	"153464554.549448"	"151082523.387553"	"132205889.754665"	"137964110.231533"	"152753685.383684"	"148726216.387677"	"163605642.088455"	"175808145.425781"	"161417365.716055"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"Q7TPV4"	"Myb-binding protein 1A [OS=Mus musculus]"	"0.000"	"239.769"	"41"	"40"	"833"	"40"	"1344"	"151.9"	"8.95"	"2279.72"	"40"	"cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;stress response;signal transduction;other biological processes"	"nucleus;other cell component"	"nucleic acid binding activity;other molecular function"	"Pf04931"	"18432"	"Mybbp1a"	"mmu:18432; O35851; Q7TPV4; Q80Y66; Q8R4X2; Q99KP0"	"ENSMUSG00000040463"	""	"B-WICH complex positively regulates rRNA expression"	"1"	"0"	"1.640"	"1.463"	"0.957"	"1.050"	"0.71"	"0.55"	"-0.06"	"0.07"	"0.12676369662934"	"0.0389218544434371"	"0.794997944565778"	"0.874130133044111"	"0.510384635648172"	"0.229324959742078"	"0.969980051305513"	"0.973173807039869"	"49.12"	"45.33"	"40.82"	"39.75"	"28.6477997453763"	"28.541530859661"	"28.964797171831"	"28.8801199972877"	"126770078.828125"	"198743208.367188"	"127734369.027344"	"239867376.765625"	"221452385.070313"	"322860220.083008"	"297743890.253906"	"229224810.039063"	"311510456.1875"	"199427736.884766"	"210809080.925781"	"253960960.290039"	"249204350.976563"	"276888217.564453"	"300922615.265625"	"248044266.589844"	"171505853.601223"	"234320218.030705"	"166854926.405589"	"240128581.263061"	"265529966.61156"	"343507689.580167"	"323081548.053319"	"296289552.231279"	"320804074.57769"	"271743101.343802"	"263428273.395412"	"273748956.300933"	"290430325.467077"	"313594763.157385"	"300922615.265625"	"297832000.660322"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"P19096"	"Fatty acid synthase [OS=Mus musculus]"	"0.000"	"221.813"	"22"	"46"	"436"	"46"	"2504"	"272.3"	"6.58"	"1019.14"	"46"	"other metabolic processes;stress response;other biological processes"	"plasma membrane;other membranes;cytosol;ER/Golgi;other cell component"	"other molecular function"	"Pf00107, Pf00109, Pf00550, Pf00698, Pf00975, Pf02801, Pf08242, Pf08659, Pf14765, Pf16197"	"14104"	"Fasn"	"B1ATU8; mmu:14104; P19096; Q6PB72; Q8C4Z0; Q9EQR0"	"ENSMUSG00000025153"	"Fatty acid biosynthesis; Dysregulated miRNA targeting in insulin/PI3K-AKT signaling; Cholesterol metabolism with Bloch and Kandutsch-Russell pathways; Omega-9 fatty acid synthesis"	"ChREBP activates metabolic gene expression; Fatty acyl-CoA biosynthesis; Vitamin B5 (pantothenate) metabolism"	"7"	"0"	"0.809"	"0.788"	"1.155"	"1.177"	"-0.31"	"-0.34"	"0.21"	"0.24"	"0.487514855843865"	"0.440791296838447"	"0.357848674234217"	"0.385794113557692"	"0.883552587998051"	"0.832342980517868"	"0.772436485195794"	"0.838477584317013"	"29.15"	"25.81"	"28.36"	"28.75"	"28.1775811798365"	"28.1143402466386"	"28.2053033818916"	"28.1432923036191"	"134656931.644531"	"172011856.015625"	"143957933.964844"	"195308340.753906"	"134430246.046875"	"160177957.296875"	"159078122.34375"	"126194575.390625"	"137272752.46875"	"112916968.28125"	"129277249.359375"	"155029284.953125"	"162609711.140625"	"163895125.515625"	"185745063.5"	"160409990.8125"	"182175890.545342"	"202803687.917629"	"188047200.296286"	"195521022.518637"	"161187059.390112"	"170421614.711697"	"172615485.021056"	"163115564.280032"	"141368154.569948"	"153862284.326161"	"161545614.821204"	"167108774.921665"	"189510300.063424"	"185622391.305828"	"185745063.5"	"192607670.987171"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"P11499"	"Heat shock protein HSP 90-beta [OS=Mus musculus]"	"0.000"	"215.055"	"57"	"37"	"644"	"21"	"724"	"83.2"	"5.03"	"1396.65"	"37"	"cell organization and biogenesis;DNA metabolism;other metabolic processes;stress response;developmental processes;other biological processes"	"non-structural extracellular;plasma membrane;other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component"	"signal transduction activity or receptor binding;enzyme regulator activity;cytoskeletal activity;nucleic acid binding activity;other molecular function"	"Pf00183, Pf02518"	"15516"	"Hsp90ab1"	"mmu:15516; O89078; P11499; Q3UIQ7"	"ENSMUSG00000023944"	"Focal adhesion: PI3K-Akt-mTOR signaling pathway"	"Neutrophil degranulation; The role of GTSE1 in G2/M progression after G2 checkpoint; Regulation of actin dynamics for phagocytic cup formation; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Attenuation phase; Estrogen-dependent gene expression; Sema3A PAK dependent Axon repulsion; Aryl hydrocarbon receptor signalling; DDX58/IFIH1-mediated induction of interferon-alpha/beta; HSF1 activation; RHOBTB2 GTPase cycle; The NLRP3 inflammasome"	"15"	"15"	"0.712"	"0.682"	"0.991"	"1.083"	"-0.49"	"-0.55"	"-0.01"	"0.11"	"0.274530460297506"	"0.152860651634794"	"0.966567282741532"	"0.725068825213293"	"0.731563392663264"	"0.552496342183275"	"0.997863026166221"	"0.946467633724597"	"44.58"	"43.62"	"32.89"	"32.34"	"30.2852393907356"	"30.1883549854249"	"30.2333927007219"	"30.132836790537"	"620048692.105469"	"687410595.117188"	"680749818.265625"	"837321186.984375"	"579239013.328125"	"673088608.984375"	"708461230.257813"	"553940361.257813"	"630079571.867188"	"512826491.140625"	"516337660.507813"	"563529508.148438"	"615758347.183594"	"628156394.171875"	"759003154.503906"	"647761912.505859"	"838857096.224174"	"810463924.014367"	"889239612.582372"	"838232991.093746"	"694529958.755222"	"716133789.710935"	"768750454.668483"	"716007754.884567"	"648877397.044725"	"698784749.457078"	"645218592.098917"	"607438302.817222"	"717623494.456643"	"711429895.388279"	"759003154.503906"	"777781437.989005"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
